Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1999.8,-611.1619999999998,-511.1619999999998,4.859376430511475,0.746,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0001_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1903.03,-628.373,-528.373,4.69059419631958,0.7529,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0002_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1900.85,-598.4730000000002,-498.4730000000002,4.797133922576903,0.7568,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0003_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1885.77,-593.509,-493.509,4.745988368988037,0.7587,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0004_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1909.05,-596.507,-496.50699999999995,4.990161895751953,0.74,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0005_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1912.57,-634.687,-534.687,4.591330051422119,0.7587,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0006_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1896.78,-604.86,-504.86,4.421792030334473,0.7683,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0007_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1891.91,-592.234,-492.23400000000004,4.741181373596191,0.7609,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0008_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1889.33,-571.124,-471.124,4.472771167755127,0.769,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0009_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1918.91,-572.99,-472.99,4.845197677612305,0.7517,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0010_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1881.64,-605.183,-505.183,4.765880107879639,0.7548,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0011_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1887.09,-567.0,-467.0,4.867096900939941,0.7552,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0012_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1899.53,-609.148,-509.148,4.778376579284668,0.7586,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0013_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1920.15,-601.961,-501.961,4.572033405303955,0.7709,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0014_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1917.61,-591.486,-491.486,4.791272163391113,0.7589,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0015_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1899.32,-595.529,-495.529,4.938135147094727,0.7506,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0016_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1938.87,-577.812,-477.812,4.955547332763672,0.7522,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0017_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1916.04,-567.255,-467.255,4.562839984893799,0.7696,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0018_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1915.98,-583.102,-483.102,4.705653190612793,0.7527,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0019_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1907.73,-593.821,-493.821,4.2432708740234375,0.782,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0020_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1906.32,-621.836,-521.836,4.614511489868164,0.7585,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0021_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1880.83,-615.8340000000002,-515.8340000000002,4.619708061218262,0.768,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0022_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1919.84,-602.2230000000002,-502.2230000000002,5.130696296691895,0.7423,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0023_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1909.84,-572.317,-472.317,4.748271942138672,0.7548,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0024_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1894.06,-568.528,-468.528,4.7322659492492685,0.7674,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0025_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1910.93,-601.844,-501.84400000000005,4.726710796356201,0.7613,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0026_0001.pdb
3M7M_HM_g,235,2385.55,Alpha Beta  Mainly Alpha,3-Layer(bab) Sandwich  Single Sheet,1911.89,-609.7869999999998,-509.7869999999998,4.487724304199219,0.7654,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3M7M/RS/1/r_g_1_S_0027_0001.pdb
