Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
3GUA_HM_g,217,2276.21,Mainly Beta,Distorted Sandwich,2016.05,-757.9069999999997,-657.9069999999997,3.5521233081817627,0.9052,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3GUA/RS/1/r_g_1_S_0001_0001.pdb
3GUA_HM_g,217,2276.21,Mainly Beta,Distorted Sandwich,2051.6,-766.328,-666.328,3.348289251327514,0.8982,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3GUA/RS/1/r_g_1_S_0002_0001.pdb
3GUA_HM_g,217,2276.21,Mainly Beta,Distorted Sandwich,1995.5,-784.748,-684.748,4.301551818847656,0.8987,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3GUA/RS/1/r_g_1_S_0003_0001.pdb
3GUA_HM_g,217,2276.21,Mainly Beta,Distorted Sandwich,2109.97,-783.091,-683.091,2.798614740371704,0.9123,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3GUA/RS/1/r_g_1_S_0004_0001.pdb
3GUA_HM_g,217,2276.21,Mainly Beta,Distorted Sandwich,2039.74,-775.832,-675.832,3.5937414169311523,0.9002,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3GUA/RS/1/r_g_1_S_0005_0001.pdb
3GUA_HM_g,217,2276.21,Mainly Beta,Distorted Sandwich,2008.37,-771.679,-671.679,3.8215081691741934,0.9031,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3GUA/RS/1/r_g_1_S_0006_0001.pdb
3GUA_HM_g,217,2276.21,Mainly Beta,Distorted Sandwich,1987.88,-755.4760000000001,-655.4760000000001,4.225598335266113,0.9043,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3GUA/RS/1/r_g_1_S_0007_0001.pdb
3GUA_HM_g,217,2276.21,Mainly Beta,Distorted Sandwich,1980.63,-782.308,-682.308,4.251704216003418,0.9021,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3GUA/RS/1/r_g_1_S_0008_0001.pdb
3GUA_HM_g,217,2276.21,Mainly Beta,Distorted Sandwich,2082.17,-764.585,-664.585,2.687572240829468,0.9201,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3GUA/RS/1/r_g_1_S_0009_0001.pdb
3GUA_HM_g,217,2276.21,Mainly Beta,Distorted Sandwich,2027.53,-764.311,-664.311,3.4978668689727783,0.9019,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3GUA/RS/1/r_g_1_S_0010_0001.pdb
