Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1JMA_HM_g,290,2087.39,Mainly Beta,Distorted Sandwich,2210.9,-857.102,-757.102,5.80906867980957,0.887,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1JMA/RS/1/r_g_1_S_0001_0001.pdb
1JMA_HM_g,290,2087.39,Mainly Beta,Distorted Sandwich,2251.32,-861.878,-761.878,6.561634540557861,0.872,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1JMA/RS/1/r_g_1_S_0002_0001.pdb
1JMA_HM_g,290,2087.39,Mainly Beta,Distorted Sandwich,2206.26,-861.93,-761.93,7.398958683013916,0.8825,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1JMA/RS/1/r_g_1_S_0003_0001.pdb
1JMA_HM_g,290,2087.39,Mainly Beta,Distorted Sandwich,2209.81,-854.0060000000003,-754.0060000000003,6.848033428192139,0.8694,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1JMA/RS/1/r_g_1_S_0004_0001.pdb
1JMA_HM_g,290,2087.39,Mainly Beta,Distorted Sandwich,2193.68,-868.19,-768.19,4.632378101348877,0.8885,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1JMA/RS/1/r_g_1_S_0005_0001.pdb
1JMA_HM_g,290,2087.39,Mainly Beta,Distorted Sandwich,2238.96,-868.552,-768.552,6.816091537475586,0.8882,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1JMA/RS/1/r_g_1_S_0006_0001.pdb
1JMA_HM_g,290,2087.39,Mainly Beta,Distorted Sandwich,2247.66,-862.779,-762.779,5.0437960624694815,0.8911,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1JMA/RS/1/r_g_1_S_0007_0001.pdb
1JMA_HM_g,290,2087.39,Mainly Beta,Distorted Sandwich,2195.14,-868.197,-768.197,5.213586330413818,0.8952,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1JMA/RS/1/r_g_1_S_0008_0001.pdb
1JMA_HM_g,290,2087.39,Mainly Beta,Distorted Sandwich,2160.7,-868.467,-789.6344318768176,6.401118755340576,0.8882,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1JMA/RS/1/r_g_1_S_0009_0001.pdb
1JMA_HM_g,290,2087.39,Mainly Beta,Distorted Sandwich,2209.53,-844.567,-744.567,6.37378454208374,0.8737,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1JMA/RS/1/r_g_1_S_0010_0001.pdb
