Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1K7G_HM_g,479,3441.65,Mainly Beta  Alpha Beta,2 Solenoid  3-Layer(aba) Sandwich,3097.0,-1426.615,-1326.615,2.13556170463562,0.9561,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1K7G/RS/1/r_g_1_S_0001_0001.pdb
1K7G_HM_g,479,3441.65,Mainly Beta  Alpha Beta,2 Solenoid  3-Layer(aba) Sandwich,3108.27,-1436.1529999999998,-1336.1529999999998,2.173898696899414,0.9528,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1K7G/RS/1/r_g_1_S_0002_0001.pdb
1K7G_HM_g,479,3441.65,Mainly Beta  Alpha Beta,2 Solenoid  3-Layer(aba) Sandwich,3104.27,-1447.511,-1347.511,2.388838291168213,0.9489,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1K7G/RS/1/r_g_1_S_0003_0001.pdb
1K7G_HM_g,479,3441.65,Mainly Beta  Alpha Beta,2 Solenoid  3-Layer(aba) Sandwich,3114.49,-1446.62,-1346.62,2.2614548206329346,0.9532,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1K7G/RS/1/r_g_1_S_0004_0001.pdb
1K7G_HM_g,479,3441.65,Mainly Beta  Alpha Beta,2 Solenoid  3-Layer(aba) Sandwich,3107.8,-1457.89,-1357.89,2.1190185546875,0.955,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1K7G/RS/1/r_g_1_S_0005_0001.pdb
1K7G_HM_g,479,3441.65,Mainly Beta  Alpha Beta,2 Solenoid  3-Layer(aba) Sandwich,3109.39,-1420.0839999999994,-1320.0839999999994,2.3100721836090092,0.9449,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1K7G/RS/1/r_g_1_S_0006_0001.pdb
1K7G_HM_g,479,3441.65,Mainly Beta  Alpha Beta,2 Solenoid  3-Layer(aba) Sandwich,3105.59,-1448.058,-1348.058,2.1011190414428706,0.9573,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1K7G/RS/1/r_g_1_S_0007_0001.pdb
1K7G_HM_g,479,3441.65,Mainly Beta  Alpha Beta,2 Solenoid  3-Layer(aba) Sandwich,3113.97,-1455.365,-1355.365,2.2484362125396733,0.9532,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1K7G/RS/1/r_g_1_S_0008_0001.pdb
1K7G_HM_g,479,3441.65,Mainly Beta  Alpha Beta,2 Solenoid  3-Layer(aba) Sandwich,3105.85,-1449.9229999999998,-1349.9229999999998,2.0079817771911617,0.9571,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1K7G/RS/1/r_g_1_S_0009_0001.pdb
1K7G_HM_g,479,3441.65,Mainly Beta  Alpha Beta,2 Solenoid  3-Layer(aba) Sandwich,3106.46,-1448.4560000000001,-1348.4560000000001,2.214465856552124,0.9528,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1K7G/RS/1/r_g_1_S_0010_0001.pdb
1K7G_HM_g,479,3441.65,Mainly Beta  Alpha Beta,2 Solenoid  3-Layer(aba) Sandwich,3115.63,-1436.8329999999999,-1336.8329999999999,2.12457537651062,0.9549,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1K7G/RS/1/r_g_1_S_0011_0001.pdb
1K7G_HM_g,479,3441.65,Mainly Beta  Alpha Beta,2 Solenoid  3-Layer(aba) Sandwich,3109.27,-1423.5520000000001,-1323.5520000000001,1.8980830907821653,0.9615,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1K7G/RS/1/r_g_1_S_0012_0001.pdb
1K7G_HM_g,479,3441.65,Mainly Beta  Alpha Beta,2 Solenoid  3-Layer(aba) Sandwich,3111.86,-1450.454,-1350.454,2.2984988689422607,0.9540000000000001,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1K7G/RS/1/r_g_1_S_0013_0001.pdb
1K7G_HM_g,479,3441.65,Mainly Beta  Alpha Beta,2 Solenoid  3-Layer(aba) Sandwich,3121.38,-1433.394,-1333.394,2.1050786972045903,0.956,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1K7G/RS/1/r_g_1_S_0014_0001.pdb
1K7G_HM_g,479,3441.65,Mainly Beta  Alpha Beta,2 Solenoid  3-Layer(aba) Sandwich,3101.73,-1430.735,-1330.735,1.993307948112488,0.9608,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1K7G/RS/1/r_g_1_S_0015_0001.pdb
1K7G_HM_g,479,3441.65,Mainly Beta  Alpha Beta,2 Solenoid  3-Layer(aba) Sandwich,3077.62,-1469.099,-1369.099,2.474457025527954,0.9456,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1K7G/RS/1/r_g_1_S_0016_0001.pdb
1K7G_HM_g,479,3441.65,Mainly Beta  Alpha Beta,2 Solenoid  3-Layer(aba) Sandwich,3105.33,-1405.094,-1305.094,2.2122368812561035,0.9485,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1K7G/RS/1/r_g_1_S_0017_0001.pdb
