Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1NLT_HM_g,248,2621.31,Mainly Beta,Ribbon  Sandwich,2433.82,-561.859,-461.85900000000004,16.006610870361328,0.5791,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1NLT/RS/1/r_g_1_S_0001_0001.pdb
1NLT_HM_g,248,2621.31,Mainly Beta,Ribbon  Sandwich,2351.35,-603.747,-503.74699999999996,13.016526222229006,0.6348,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1NLT/RS/1/r_g_1_S_0002_0001.pdb
1NLT_HM_g,248,2621.31,Mainly Beta,Ribbon  Sandwich,2562.29,-602.427,-545.7448229925926,13.058985710144045,0.6361,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1NLT/RS/1/r_g_1_S_0003_0001.pdb
1NLT_HM_g,248,2621.31,Mainly Beta,Ribbon  Sandwich,2363.02,-564.4590000000002,-464.4590000000002,17.71634864807129,0.6094,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1NLT/RS/1/r_g_1_S_0004_0001.pdb
1NLT_HM_g,248,2621.31,Mainly Beta,Ribbon  Sandwich,2388.22,-588.861,-488.861,11.845608711242676,0.632,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1NLT/RS/1/r_g_1_S_0005_0001.pdb
1NLT_HM_g,248,2621.31,Mainly Beta,Ribbon  Sandwich,2546.55,-556.802,-475.9853860565161,11.082757949829102,0.6147,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1NLT/RS/1/r_g_1_S_0006_0001.pdb
1NLT_HM_g,248,2621.31,Mainly Beta,Ribbon  Sandwich,2379.77,-628.2230000000002,-528.2230000000002,12.96317195892334,0.6303,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1NLT/RS/1/r_g_1_S_0007_0001.pdb
1NLT_HM_g,248,2621.31,Mainly Beta,Ribbon  Sandwich,2390.66,-594.07,-494.07000000000005,12.96296215057373,0.6088,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1NLT/RS/1/r_g_1_S_0008_0001.pdb
1NLT_HM_g,248,2621.31,Mainly Beta,Ribbon  Sandwich,2376.14,-562.251,-462.251,16.903675079345707,0.6252,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1NLT/RS/1/r_g_1_S_0009_0001.pdb
1NLT_HM_g,248,2621.31,Mainly Beta,Ribbon  Sandwich,2363.09,-563.62,-463.62,14.563040733337402,0.629,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1NLT/RS/1/r_g_1_S_0010_0001.pdb
1NLT_HM_g,248,2621.31,Mainly Beta,Ribbon  Sandwich,2418.9,-503.31699999999995,-403.31699999999995,12.85768222808838,0.6255,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1NLT/RS/1/r_g_1_S_0011_0001.pdb
1NLT_HM_g,248,2621.31,Mainly Beta,Ribbon  Sandwich,2296.76,-624.422,-524.422,13.349006652832033,0.6282,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1NLT/RS/1/r_g_1_S_0012_0001.pdb
1NLT_HM_g,248,2621.31,Mainly Beta,Ribbon  Sandwich,2441.49,-599.081,-499.081,11.146879196166992,0.627,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1NLT/RS/1/r_g_1_S_0013_0001.pdb
1NLT_HM_g,248,2621.31,Mainly Beta,Ribbon  Sandwich,2339.3,-598.656,-498.65599999999995,16.19186019897461,0.5842,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1NLT/RS/1/r_g_1_S_0014_0001.pdb
1NLT_HM_g,248,2621.31,Mainly Beta,Ribbon  Sandwich,2417.26,-601.9159999999998,-501.9159999999998,12.434223175048828,0.6116,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1NLT/RS/1/r_g_1_S_0015_0001.pdb
1NLT_HM_g,248,2621.31,Mainly Beta,Ribbon  Sandwich,2440.86,-605.936,-505.93600000000004,10.90198802947998,0.6088,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1NLT/RS/1/r_g_1_S_0016_0001.pdb
1NLT_HM_g,248,2621.31,Mainly Beta,Ribbon  Sandwich,2305.9,-604.406,-504.40599999999995,14.334105491638185,0.6168,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1NLT/RS/1/r_g_1_S_0017_0001.pdb
