Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1229.97,-248.726,-232.49676367407403,6.245076656341553,0.5668,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000001_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1341.75,-231.427,-145.4588990397806,14.749834060668945,0.2951,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000003_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1223.39,-289.0420000000001,-263.76551243237327,7.015529155731201,0.5497,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000005_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1334.41,-244.615,-168.40513282194783,6.310526847839356,0.5706,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000006_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1335.37,-264.373,-186.7899301750345,7.418081283569336,0.4911,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000009_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1263.27,-276.23400000000004,-276.23400000000004,13.335870742797852,0.3337,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000010_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1298.29,-244.623,-225.30492134540475,6.45033597946167,0.5205,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000018_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1275.76,-231.088,-230.80163910589852,7.806771278381348,0.5413,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000020_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1260.22,-257.948,-257.948,6.309445381164551,0.4841,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000023_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1335.02,-238.748,-161.66259265925933,6.327791690826416,0.4377,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000025_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1268.67,-250.783,-250.783,6.085993766784668,0.5573,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000029_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1281.59,-251.573,-248.98514720000006,5.978419780731201,0.5097,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000031_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1301.81,-233.88,-209.6265120592594,6.7225284576416025,0.4859,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000032_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1331.93,-250.72,-178.16959034074068,5.181086540222168,0.5027,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000033_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1258.67,-233.878,-233.878,5.808615684509277,0.5146,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000034_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1326.37,-258.681,-194.81143832318267,8.676593780517576,0.4809,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000037_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1295.38,-214.725,-199.18740916515765,5.4731101989746085,0.5579999999999999,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000039_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1304.51,-240.995,-212.72896005925935,6.724931240081787,0.4852,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000050_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1277.84,-207.739,-206.88544627407413,6.00662088394165,0.505,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000063_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1229.64,-264.724,-248.07449580000002,6.27116584777832,0.5187,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000074_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1308.5,-245.59,-211.10847500000008,5.47301721572876,0.523,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000075_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1327.02,-253.871,-188.9590363903979,14.185647964477539,0.365,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000079_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1359.46,-246.661,-147.10045266145406,5.609044551849365,0.5838,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000085_0001.pdb
3VZ9_EX,103,1262.95,Alpha Beta,2-Layer Sandwich,1286.33,-267.726,-261.7526261925927,6.677074909210205,0.5154,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3VZ9/RS/EX/1/r_1_F_00000086_0001.pdb
