Protein_ID,Protein_SeqL,Protein_EXP_CCS,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,737.502,-112.192,-109.08588561700738,1.8064556121826167,0.8203,r2_t2_1_S_0001_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,700.461,-129.474,-76.91000004220002,1.141421675682068,0.8393,r2_t2_1_S_0002_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,687.69,-119.169,-46.122935800000064,1.2212793827056885,0.8428,r2_t2_1_S_0003_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,706.7539999999998,-120.22,-78.11385655608635,1.2122691869735718,0.8323,r2_t2_1_S_0004_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,692.6410000000002,-114.773,-49.399567367703725,1.2013039588928225,0.8471,r2_t2_1_S_0005_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,688.409,-116.854,-44.89107555118544,1.260388731956482,0.8352,r2_t2_1_S_0006_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,705.0210000000002,-116.067,-71.0944359456077,1.6155334711074831,0.7915,r2_t2_1_S_0007_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,678.073,-109.933,-23.812757009323164,1.5687621831893919,0.8439,r2_t2_1_S_0008_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,688.921,-109.804,-38.61946553965413,1.3229159116744995,0.8214,r2_t2_1_S_0009_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,699.567,-124.663,-70.6119511980074,1.4935959577560425,0.8076,r2_t2_1_S_0010_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,696.94,-120.688,-62.29020966145414,1.3865917921066284,0.8503,r2_t2_1_S_0011_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,703.346,-114.493,-66.7356643155731,1.1553269624710083,0.8473,r2_t2_1_S_0012_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,692.1389999999999,-114.5,-48.3280663770591,1.873770833015442,0.8225,r2_t2_1_S_0013_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,698.2330000000002,-118.125,-61.86133191184199,1.3906298875808716,0.8256,r2_t2_1_S_0014_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,702.317,-121.919,-72.44732459396079,1.139147400856018,0.8447,r2_t2_1_S_0015_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,696.703,-108.991,-50.203441517989816,1.78599750995636,0.8026,r2_t2_1_S_0016_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,700.26,-120.601,-67.70244527407405,1.4483475685119631,0.8071,r2_t2_1_S_0017_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,690.2510000000002,-95.374,-26.23727715301787,1.7991303205490112,0.8163,r2_t2_1_S_0018_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,687.9639999999998,-110.081,-37.44630109153775,1.694653868675232,0.8292,r2_t2_1_S_0019_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,681.1619999999998,-109.247,-26.999393174340483,1.3639459609985352,0.8313,r2_t2_1_S_0020_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,695.961,-123.818,-63.81342234220001,1.1552070379257202,0.8445,r2_t2_1_S_0021_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,691.12,-111.781,-44.00100369602197,2.079631328582764,0.7327,r2_t2_1_S_0022_0001
3INS_HM,51,757,Cath Unclassified,Cath Unclassified,695.563,-127.667,-67.01184002618737,1.8477975130081177,0.8147,r2_t2_1_S_0023_0001
