Protein_ID,Protein_SeqL,Protein_EXP_CCS,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2700.82,-1084.537,-984.537,3.435621976852417,0.8728,r_1_S_0001_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2641.26,-1222.692,-1122.692,4.185774326324463,0.8825,r_1_S_0002_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2596.44,-1132.54,-1032.54,4.0999016761779785,0.8963,r_1_S_0003_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2619.3,-1157.514,-1057.514,7.2160964012146,0.8701,r_1_S_0004_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2686.95,-1083.981,-983.981,4.238661766052246,0.8687,r_1_S_0005_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2617.01,-1174.23,-1074.23,4.412769794464111,0.856,r_1_S_0006_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2639.78,-1175.87,-1075.87,4.499070644378662,0.8745,r_1_S_0007_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2638.86,-1137.363,-1037.363,4.988892555236816,0.858,r_1_S_0008_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2606.62,-1094.153,-994.153,5.529443740844727,0.8807,r_1_S_0009_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2595.12,-1185.86,-1085.86,3.997400999069214,0.8708,r_1_S_0010_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2642.77,-1183.679,-1083.679,4.3620996475219735,0.8764,r_1_S_0011_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2614.42,-1161.861,-1061.861,5.276196479797363,0.8542,r_1_S_0012_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2625.74,-1188.706,-1088.706,4.921535015106201,0.8827,r_1_S_0013_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2627.29,-1181.932,-1081.932,3.6992037296295166,0.892,r_1_S_0014_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2631.57,-1147.58,-1047.58,3.6297800540924072,0.8848,r_1_S_0015_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2652.2,-1132.917,-1032.917,4.18743371963501,0.8697,r_1_S_0016_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2626.97,-1160.524,-1060.524,4.484830856323242,0.8764,r_1_S_0017_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2642.52,-1172.085,-1072.085,3.9088752269744873,0.8697,r_1_S_0018_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2632.36,-1162.443,-1062.443,3.900568008422852,0.873,r_1_S_0019_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2650.46,-1226.956,-1126.956,3.9964098930358887,0.8813,r_1_S_0020_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2632.59,-1160.681,-1060.681,4.438713550567627,0.8704,r_1_S_0021_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2635.42,-1167.142,-1067.142,3.626997470855713,0.8868,r_1_S_0022_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2666.53,-1156.918,-1056.918,4.01503849029541,0.8648,r_1_S_0023_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2623.39,-1151.183,-1051.183,4.009095191955566,0.8864,r_1_S_0024_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2627.62,-1163.761,-1063.761,4.479196548461914,0.8758,r_1_S_0025_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2672.06,-1179.746,-1079.746,5.81743049621582,0.8619,r_1_S_0026_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2622.18,-1159.898,-1059.898,3.4831888675689697,0.8909999999999999,r_1_S_0027_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2610.16,-1136.391,-1036.391,4.316207885742188,0.8732,r_1_S_0028_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2613.2,-1115.985,-1015.9849999999999,3.9692540168762207,0.8763,r_1_S_0029_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2683.96,-1175.405,-1075.405,4.4152679443359375,0.8667,r_1_S_0030_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2650.99,-1160.021,-1060.021,3.5289857387542725,0.8957,r_1_S_0031_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2655.85,-1121.137,-1021.137,4.1799635887146005,0.8726,r_1_S_0032_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2633.65,-1220.35,-1120.35,3.3261525630950928,0.9007,r_1_S_0033_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2691.24,-1107.84,-1007.8399999999999,5.643328666687013,0.8507,r_1_S_0034_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2668.35,-1195.376,-1095.376,3.6587724685668954,0.8896,r_1_S_0035_0001
1OVA_HM,386,3010,Mainly Beta Alpha Beta,Roll 2-Layer Sandwich,2606.14,-1166.111,-1066.111,3.547370433807373,0.8816,r_1_S_0036_0001
