Protein_ID,Protein_SeqL,Protein_EXP_CCS,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3917.1,-1688.83,-1687.061155281207,2.4906909465789795,0.9295,r_1_S_0001_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3897.36,-1657.01,-1657.01,2.512885093688965,0.9294,r_1_S_0002_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3908.97,-1664.253,-1664.253,1.9613268375396729,0.9553,r_1_S_0003_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3880.46,-1702.072,-1698.9394032,2.159533739089966,0.9465,r_1_S_0004_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3868.15,-1708.767,-1693.9466005829906,2.22141170501709,0.9415,r_1_S_0005_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3865.4,-1688.826,-1670.4968740740742,2.2975308895111084,0.9407,r_1_S_0006_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3861.02,-1705.526,-1681.0980496,2.1739261150360107,0.946,r_1_S_0007_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3859.29,-1707.749,-1680.7650969577503,2.052521228790283,0.9486,r_1_S_0008_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3894.93,-1652.685,-1652.685,2.358892679214477,0.9376,r_1_S_0009_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3870.85,-1720.691,-1709.0353616941015,2.267800092697144,0.9386,r_1_S_0010_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3881.81,-1725.546,-1723.2124142,2.5191845893859863,0.9273,r_1_S_0011_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3856.77,-1730.7579999999996,-1699.927332720713,2.1909770965576167,0.9429,r_1_S_0012_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3879.82,-1693.8629999999996,-1690.3141944669408,2.1290740966796875,0.9482,r_1_S_0013_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3901.14,-1662.485,-1662.485,2.153563499450684,0.9446,r_1_S_0014_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3851.54,-1701.35,-1662.1732575407407,2.267258882522583,0.9390000000000001,r_1_S_0015_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3870.96,-1724.714,-1713.180939715775,2.2204859256744385,0.9397,r_1_S_0016_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3879.66,-1657.979,-1654.3224571478738,2.1531050205230717,0.9442,r_1_S_0017_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3878.54,-1701.981,-1697.5297775407407,2.1163110733032227,0.948,r_1_S_0018_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3872.88,-1738.909,-1729.4302708170098,1.9483278989791868,0.9551,r_1_S_0019_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3874.3,-1740.069,-1732.0014397805214,1.901822686195373,0.9558,r_1_S_0020_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3864.88,-1682.279,-1663.2568155632375,2.1813461780548096,0.9479,r_1_S_0021_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3879.05,-1702.54,-1698.4593675925926,2.2623541355133057,0.9390000000000001,r_1_S_0022_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3877.94,-1675.65,-1670.7444208000002,2.067861318588257,0.9509,r_1_S_0023_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3883.44,-1746.8629999999996,-1745.3466116367624,1.9901524782180784,0.9528,r_1_S_0024_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3880.54,-1727.695,-1724.6127570743483,2.511915922164917,0.9368,r_1_S_0025_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3877.05,-1746.904,-1741.2886117626888,2.1992032527923584,0.9423,r_1_S_0026_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3843.52,-1702.274,-1649.8082227138545,2.1734607219696045,0.9435,r_1_S_0027_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3906.44,-1724.2020000000002,-1724.2020000000002,2.0846316814422607,0.9491,r_1_S_0028_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3863.85,-1747.321,-1726.900127812071,2.142691373825073,0.9457,r_1_S_0029_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3910.54,-1664.134,-1664.1232432,2.062612533569336,0.9515,r_1_S_0030_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3895.46,-1734.297,-1734.297,2.416428804397583,0.9332,r_1_S_0031_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3885.42,-1732.906,-1732.1554534737998,1.9185727834701536,0.9556,r_1_S_0032_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3844.72,-1657.652,-1607.1853393558297,2.275087594985962,0.9385,r_1_S_0033_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3870.73,-1660.06,-1648.2700530817558,2.2422332763671875,0.9411,r_1_S_0034_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3876.0,-1729.678,-1723.1715528120715,2.777513027191162,0.9191,r_1_S_0035_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3877.35,-1677.409,-1672.0376000342935,2.3742291927337646,0.9359999999999999,r_1_S_0036_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3911.5,-1625.977,-1625.8945925925927,2.287883281707764,0.9386,r_1_S_0037_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3867.98,-1727.231,-1712.2017029925926,2.0171651840209956,0.9520000000000001,r_1_S_0038_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3867.55,-1645.525,-1629.9624536694105,2.2654449939727783,0.9467,r_1_S_0039_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3871.64,-1721.854,-1711.0671327999999,2.130257606506348,0.9483,r_1_S_0040_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3863.59,-1744.579,-1723.7997866175585,2.182457685470581,0.9474,r_1_S_0041_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3870.88,-1687.684,-1676.0618432175584,2.550434112548828,0.9297,r_1_S_0042_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3907.29,-1720.839,-1720.839,1.9847090244293213,0.9522,r_1_S_0043_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3877.25,-1719.687,-1714.2348009259258,2.309201717376709,0.9392,r_1_S_0044_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3876.23,-1740.1029999999996,-1733.7966153999996,2.4298205375671387,0.9309999999999999,r_1_S_0045_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3875.4,-1718.274,-1711.23299478738,2.246628999710083,0.9455,r_1_S_0046_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3884.61,-1755.85,-1754.8169567404664,1.8133527040481567,0.9617,r_1_S_0047_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3883.42,-1722.24,-1720.7145888373113,2.668574333190918,0.9199,r_1_S_0048_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3918.27,-1671.474,-1669.09610364417,2.2036943435668945,0.9446,r_1_S_0049_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3847.79,-1721.99,-1676.6340418,2.16973876953125,0.9492,r_1_S_0050_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3903.97,-1682.442,-1682.442,2.3502798080444336,0.9385,r_1_S_0051_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3889.49,-1702.708,-1702.6984030592594,2.529246091842652,0.9314,r_1_S_0052_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3894.52,-1679.213,-1679.213,2.404191017150879,0.9344,r_1_S_0053_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3883.46,-1665.75,-1664.242609125926,2.578382968902588,0.9391,r_1_S_0054_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3890.47,-1749.2120000000002,-1749.2120000000002,2.721390008926392,0.9242,r_1_S_0055_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3848.81,-1708.112,-1664.4468267925927,2.3400392532348637,0.9445,r_1_S_0056_0001
4F5S_HM,583,3900,Mainly Alpha,Orthogonal Bundle,3876.37,-1709.6429999999998,-1703.457062454595,1.9988436698913572,0.9519,r_1_S_0057_0001
