Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,768.922,-159.563,-59.56299999999999,2.9317336082458496,0.7765,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000001_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,743.294,-161.094,-61.093999999999994,2.8645670413970947,0.7349,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000002_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,749.1510000000002,-153.775,-53.775000000000006,2.1330003738403316,0.8578,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000003_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,763.3560000000001,-156.207,-56.206999999999994,1.6614503860473633,0.848,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000004_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,746.2339999999998,-150.28799999999995,-50.287999999999954,2.450495481491089,0.8442,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000005_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,761.52,-152.509,-52.508999999999986,3.3095390796661377,0.7843,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000006_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,778.14,-150.463,-50.462999999999994,1.8073534965515137,0.7954,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000007_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,740.2610000000002,-152.718,-52.71799999999999,2.8726489543914795,0.7824,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000008_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,776.112,-148.903,-48.90299999999999,4.022589683532715,0.5533,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000009_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,761.398,-159.91299999999995,-59.912999999999954,1.8080892562866209,0.8156,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000010_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,765.0110000000002,-154.055,-54.05500000000001,2.6362807750701904,0.6709,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000011_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,757.2610000000002,-161.47799999999995,-61.47799999999995,7.672086715698242,0.737,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000012_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,766.908,-152.996,-52.99600000000001,1.6805567741394043,0.8158,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000013_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,768.2439999999998,-153.815,-53.815,2.8673894405364986,0.6221,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000014_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,784.9860000000001,-138.636,-38.635999999999996,2.8211066722869877,0.6925,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000015_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,747.7689999999999,-158.049,-58.04900000000001,3.517342090606689,0.7887,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000016_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,758.326,-156.6,-56.599999999999994,3.01676869392395,0.8014,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000017_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,754.807,-153.216,-53.21600000000001,5.901263236999513,0.5024,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000018_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,760.753,-143.21,-43.21000000000001,2.8891348838806152,0.6727,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000019_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,745.4780000000002,-163.107,-63.107,3.2053940296173096,0.8222,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000020_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,750.324,-155.405,-55.405,3.465256690979004,0.7883,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000021_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,758.546,-155.102,-55.102000000000004,2.4122917652130127,0.7825,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000022_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,737.7919999999998,-146.541,-46.541,3.944032907485962,0.5899,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000023_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,743.1669999999998,-163.675,-63.67500000000001,3.1100728511810303,0.7889,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000024_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,756.5980000000002,-159.906,-59.906000000000006,3.4843876361846924,0.7852,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000025_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,742.571,-160.849,-60.84899999999999,4.266703128814696,0.7592,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000026_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,766.5239999999999,-142.27,-42.27000000000001,2.2947471141815186,0.7447,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000027_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,744.563,-163.683,-63.68299999999999,3.3252429962158203,0.7579,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000028_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,758.4,-162.32,-62.31999999999999,3.2168004512786865,0.7972,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000029_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,733.794,-144.804,-44.804,3.3672659397125244,0.6194,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000030_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,741.8530000000002,-153.384,-53.383999999999986,2.4248065948486333,0.8378,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000031_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,754.314,-158.583,-58.583,2.0807135105133057,0.8318,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000032_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,739.7189999999998,-154.026,-54.02600000000001,2.047606945037842,0.7659999999999999,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000033_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,739.622,-160.506,-60.506,3.1832034587860107,0.7992,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000034_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,758.138,-156.415,-56.41499999999999,3.047800779342652,0.7692,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000035_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,781.393,-141.436,-41.43600000000001,2.3699724674224854,0.7217,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000036_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,755.064,-148.56799999999996,-48.567999999999955,2.132741689682007,0.7916,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000037_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,742.078,-157.46,-57.46000000000001,3.41779899597168,0.764,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000038_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,740.8589999999998,-156.561,-56.56100000000001,4.500364303588867,0.6667,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000039_0001.pdb
3A1Y_EX,58,1030.69,Mainly Alpha,Orthogonal Bundle,782.2769999999998,-149.21,-49.21000000000001,1.99605393409729,0.805,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/3A1Y/RS/EX/1/r_1_S_00000040_0001.pdb
