Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1ZVC_HM_g,189,1275.98,Mainly Beta,Beta Barrel,1577.93,-644.0980000000002,-544.0980000000002,1.020167350769043,0.9721,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1ZVC/RS/1/r_g_1_S_0001_0001.pdb
1ZVC_HM_g,189,1275.98,Mainly Beta,Beta Barrel,1579.37,-651.4209999999998,-551.4209999999998,1.011913537979126,0.968,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1ZVC/RS/1/r_g_1_S_0002_0001.pdb
1ZVC_HM_g,189,1275.98,Mainly Beta,Beta Barrel,1583.99,-633.095,-533.095,0.8562598228454591,0.9778,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1ZVC/RS/1/r_g_1_S_0003_0001.pdb
1ZVC_HM_g,189,1275.98,Mainly Beta,Beta Barrel,1590.11,-634.7090000000002,-534.7090000000002,0.9960868954658508,0.9725,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1ZVC/RS/1/r_g_1_S_0004_0001.pdb
1ZVC_HM_g,189,1275.98,Mainly Beta,Beta Barrel,1589.29,-637.822,-537.822,0.9417484402656556,0.977,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1ZVC/RS/1/r_g_1_S_0005_0001.pdb
1ZVC_HM_g,189,1275.98,Mainly Beta,Beta Barrel,1575.23,-638.7719999999998,-538.7719999999998,0.9816925525665284,0.9737,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1ZVC/RS/1/r_g_1_S_0006_0001.pdb
1ZVC_HM_g,189,1275.98,Mainly Beta,Beta Barrel,1574.97,-644.143,-544.143,0.8276554346084595,0.9792,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1ZVC/RS/1/r_g_1_S_0007_0001.pdb
1ZVC_HM_g,189,1275.98,Mainly Beta,Beta Barrel,1576.83,-647.315,-547.315,0.9262786507606506,0.9749,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1ZVC/RS/1/r_g_1_S_0008_0001.pdb
1ZVC_HM_g,189,1275.98,Mainly Beta,Beta Barrel,1569.0,-634.943,-534.943,0.6772137284278871,0.9827,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1ZVC/RS/1/r_g_1_S_0009_0001.pdb
1ZVC_HM_g,189,1275.98,Mainly Beta,Beta Barrel,1555.28,-649.0409999999998,-549.0409999999998,0.7045102715492249,0.9818,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1ZVC/RS/1/r_g_1_S_0010_0001.pdb
1ZVC_HM_g,189,1275.98,Mainly Beta,Beta Barrel,1586.76,-645.241,-545.241,0.8804892301559448,0.9746,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1ZVC/RS/1/r_g_1_S_0011_0001.pdb
