Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
3E8T_HM_g,220,1989.81,Alpha Beta,Super Roll,2134.57,-543.899,-443.899,8.444339752197267,0.5776,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3E8T/RS/1/r_g_1_S_0001_0001.pdb
3E8T_HM_g,220,1989.81,Alpha Beta,Super Roll,2069.72,-521.443,-434.16689760521274,8.893975257873535,0.5395,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3E8T/RS/1/r_g_1_S_0002_0001.pdb
3E8T_HM_g,220,1989.81,Alpha Beta,Super Roll,2081.56,-517.043,-419.4097824074074,8.656517028808594,0.5726,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3E8T/RS/1/r_g_1_S_0003_0001.pdb
3E8T_HM_g,220,1989.81,Alpha Beta,Super Roll,2135.28,-594.986,-494.986,8.541482925415039,0.5063,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3E8T/RS/1/r_g_1_S_0004_0001.pdb
3E8T_HM_g,220,1989.81,Alpha Beta,Super Roll,2117.48,-532.096,-432.096,8.663864135742188,0.544,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3E8T/RS/1/r_g_1_S_0005_0001.pdb
3E8T_HM_g,220,1989.81,Alpha Beta,Super Roll,2107.12,-473.05400000000003,-373.05400000000003,9.418723106384276,0.5628,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3E8T/RS/1/r_g_1_S_0006_0001.pdb
3E8T_HM_g,220,1989.81,Alpha Beta,Super Roll,2149.47,-531.98,-431.98,8.332736968994139,0.5631,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3E8T/RS/1/r_g_1_S_0007_0001.pdb
3E8T_HM_g,220,1989.81,Alpha Beta,Super Roll,2138.09,-539.306,-439.30600000000004,8.514842987060549,0.5701,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3E8T/RS/1/r_g_1_S_0008_0001.pdb
3E8T_HM_g,220,1989.81,Alpha Beta,Super Roll,2088.23,-545.076,-445.16737714348426,8.518411636352539,0.5501,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3E8T/RS/1/r_g_1_S_0009_0001.pdb
3E8T_HM_g,220,1989.81,Alpha Beta,Super Roll,2084.57,-553.526,-454.5034754941014,8.558681488037111,0.542,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3E8T/RS/1/r_g_1_S_0010_0001.pdb
