Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1R3F_HM_g,314,2355.21,Alpha Beta  Mainly Beta,2-Layer Sandwich  Roll,2409.45,-991.895,-943.161546234294,2.788641452789306,0.9174,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1R3F/RS/1/r_g_1_S_0001_0001.pdb
1R3F_HM_g,314,2355.21,Alpha Beta  Mainly Beta,2-Layer Sandwich  Roll,2410.13,-1000.591,-950.7243331928669,2.9288272857666016,0.9096,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1R3F/RS/1/r_g_1_S_0002_0001.pdb
1R3F_HM_g,314,2355.21,Alpha Beta  Mainly Beta,2-Layer Sandwich  Roll,2441.59,-979.992,-886.1693728592592,2.618365526199341,0.8959999999999999,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1R3F/RS/1/r_g_1_S_0003_0001.pdb
1R3F_HM_g,314,2355.21,Alpha Beta  Mainly Beta,2-Layer Sandwich  Roll,2416.35,-982.877,-922.7071716170097,2.613246202468872,0.9068,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1R3F/RS/1/r_g_1_S_0004_0001.pdb
1R3F_HM_g,314,2355.21,Alpha Beta  Mainly Beta,2-Layer Sandwich  Roll,2432.72,-999.128,-914.7405018521265,2.78444504737854,0.8875,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1R3F/RS/1/r_g_1_S_0005_0001.pdb
1R3F_HM_g,314,2355.21,Alpha Beta  Mainly Beta,2-Layer Sandwich  Roll,2418.53,-993.706,-929.9973389212618,1.9655928611755369,0.9262,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1R3F/RS/1/r_g_1_S_0006_0001.pdb
1R3F_HM_g,314,2355.21,Alpha Beta  Mainly Beta,2-Layer Sandwich  Roll,2439.59,-1013.445,-921.4359074545953,2.792600154876709,0.8773,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1R3F/RS/1/r_g_1_S_0007_0001.pdb
1R3F_HM_g,314,2355.21,Alpha Beta  Mainly Beta,2-Layer Sandwich  Roll,2419.18,-990.1610000000001,-925.4090066592596,3.081834077835083,0.8834,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1R3F/RS/1/r_g_1_S_0008_0001.pdb
1R3F_HM_g,314,2355.21,Alpha Beta  Mainly Beta,2-Layer Sandwich  Roll,2435.78,-976.8710000000001,-888.840973303978,3.058893203735352,0.883,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1R3F/RS/1/r_g_1_S_0009_0001.pdb
1R3F_HM_g,314,2355.21,Alpha Beta  Mainly Beta,2-Layer Sandwich  Roll,2424.99,-1004.681,-930.9334464614544,3.09325909614563,0.8959999999999999,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1R3F/RS/1/r_g_1_S_0010_0001.pdb
