Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1616.98,-369.425,-269.425,1.7178224325180054,0.9112,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0001_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1623.29,-388.293,-288.293,1.7448021173477173,0.9146,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0002_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1620.38,-382.366,-282.366,1.6393685340881348,0.9159999999999999,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0003_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1604.51,-342.43,-242.43,1.623232364654541,0.9209999999999999,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0004_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1607.37,-369.805,-269.805,1.7478207349777222,0.9079999999999999,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0005_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1627.97,-377.983,-277.983,1.6916838884353638,0.9088,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0006_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1621.47,-363.699,-263.699,1.839277267456055,0.8977,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0007_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1624.66,-384.86300000000006,-284.86300000000006,1.9868276119232176,0.8839,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0008_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1628.54,-381.42699999999996,-281.42699999999996,1.674284815788269,0.9123,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0009_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1604.64,-363.349,-263.349,1.6274863481521606,0.9164,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0010_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1598.33,-358.649,-258.649,1.7245045900344849,0.904,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0011_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1609.23,-377.695,-277.695,1.8010015487670898,0.9072,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0012_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1643.34,-378.675,-278.675,1.9775270223617556,0.8907,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0013_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1598.6,-396.30800000000005,-296.30800000000005,2.0682120323181152,0.8885,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0014_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1640.63,-387.225,-287.225,1.6834535598754885,0.904,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0015_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1612.41,-379.07599999999996,-279.07599999999996,1.8427888154983518,0.9033,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0016_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1590.32,-382.25800000000004,-282.25800000000004,1.9702388048172,0.8929,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0017_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1616.85,-343.527,-243.527,1.5530710220336914,0.9217,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0018_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1600.78,-377.048,-277.048,1.6508646011352541,0.9165,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0019_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1614.74,-366.175,-266.175,1.6672505140304563,0.9097,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0020_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1614.65,-362.76099999999997,-262.76099999999997,1.6183189153671265,0.9229,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0021_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1619.24,-348.51300000000015,-248.51300000000015,1.479509949684143,0.9287,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0022_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1637.67,-364.095,-264.095,1.4943803548812866,0.9164,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0023_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1599.04,-356.106,-256.106,1.833672881126404,0.8956,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0024_0001.pdb
6AZZ_HM_g,183,1891.08,Mainly Beta,Orthogonal Prism,1615.72,-359.19800000000015,-259.19800000000015,1.6054973602294922,0.9275,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/6AZZ/RS/1/r_g_1_S_0025_0001.pdb
