Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2000.97,-964.944,-864.944,0.9888237714767456,0.9751,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0001_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2016.73,-981.319,-881.319,0.7257365584373474,0.9863,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0002_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2004.97,-982.825,-882.825,0.8450806140899658,0.9817,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0003_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2023.69,-966.064,-866.064,0.7169409394264221,0.9867,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0004_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2018.91,-987.4119999999999,-887.4119999999999,0.8167029023170471,0.9828,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0005_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2009.92,-995.743,-895.743,0.6910739541053772,0.9876,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0006_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2012.79,-978.868,-878.868,0.7657451629638672,0.9848,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0007_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2004.11,-987.562,-887.562,0.6933543682098389,0.9875,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0008_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2012.11,-990.798,-890.798,0.7988185882568359,0.9834,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0009_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2010.68,-995.436,-895.436,0.7344331741333008,0.986,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0010_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2009.46,-983.34,-883.34,0.7719734311103821,0.9845,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0011_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2018.0,-973.485,-873.485,0.8146378397941589,0.983,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0012_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,1991.71,-969.508,-869.508,0.8193836808204651,0.9827,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0013_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2021.95,-973.814,-873.814,0.8301807045936584,0.9824,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0014_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2004.07,-983.072,-883.072,0.6799330711364746,0.988,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0015_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2013.69,-993.8380000000001,-893.8380000000001,0.7228034138679504,0.9865,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0016_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2017.08,-986.4780000000001,-886.4780000000001,0.7293627858161926,0.9862,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0017_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2015.19,-962.6239999999999,-862.6239999999999,0.8361409902572632,0.9819,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0018_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2024.69,-979.1339999999999,-879.1339999999999,0.6948232054710388,0.9874,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0019_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,1998.43,-985.539,-885.539,0.7810547947883606,0.9843,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0020_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2017.9,-969.153,-869.153,0.8120101690292358,0.983,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0021_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2002.64,-994.0169999999999,-894.0169999999999,0.7146267890930176,0.9867,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0022_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2013.81,-972.613,-872.613,0.6788462400436401,0.988,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0023_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2018.5,-979.528,-879.528,0.7268166542053223,0.9864,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0024_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2026.9,-978.6510000000001,-878.6510000000001,0.705918550491333,0.987,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0025_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2008.98,-993.8910000000001,-893.8910000000001,0.7117941975593567,0.9868,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0026_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2010.4,-971.5110000000001,-871.5110000000001,0.6664723753929138,0.9884,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0027_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2017.94,-978.317,-878.317,0.7490512728691101,0.9854,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0028_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2027.58,-980.8989999999999,-880.8989999999999,0.6613640785217285,0.9886,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0029_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2007.75,-983.712,-883.712,0.8067985773086548,0.9833,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0030_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2003.92,-989.5210000000001,-889.5210000000001,0.7049391865730286,0.9871,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0031_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2005.17,-982.336,-882.336,0.9887123703956604,0.9756,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0032_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2004.84,-975.3739999999999,-875.3739999999999,0.7943623661994934,0.9839,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0033_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2017.52,-961.768,-861.768,0.7643923163414001,0.9849,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0034_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2014.18,-1006.758,-906.758,0.788517415523529,0.9838,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0035_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2022.81,-962.738,-862.738,0.7573006153106691,0.9852,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0036_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2018.66,-965.832,-865.832,0.7595129609107971,0.9851,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0037_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2014.0,-968.11,-868.11,0.7242693305015564,0.9865,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0038_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2018.29,-991.68,-891.68,0.6902087926864624,0.9876,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0039_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,1994.49,-975.487,-875.487,0.8443663120269775,0.9818,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0040_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2010.42,-984.5989999999999,-884.5989999999999,0.8005778789520264,0.9834,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0041_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2010.05,-981.569,-881.569,0.7754565477371216,0.9844,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0042_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2016.09,-982.966,-882.966,0.6858110427856445,0.9876,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0043_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2006.29,-977.334,-877.334,0.8308656215667725,0.9823,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0044_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2011.64,-992.1160000000001,-892.1160000000001,0.7783929705619812,0.9842,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0045_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,1992.79,-985.9889999999999,-885.9889999999999,0.9469178318977356,0.9771,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0046_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2022.41,-964.2439999999999,-864.2439999999999,0.6848910450935364,0.9878,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0047_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2003.75,-978.0,-878.0,0.6311141848564148,0.9896,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0048_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2010.95,-975.5089999999999,-875.5089999999999,0.8094118237495422,0.983,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0049_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,1997.93,-975.676,-875.676,0.7976821660995483,0.9834,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0050_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2021.49,-976.997,-876.997,0.7924052476882935,0.9836,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0051_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2021.18,-978.9839999999999,-878.9839999999999,0.6923726201057434,0.9875,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0052_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2017.75,-985.2560000000001,-885.2560000000001,0.8616012334823608,0.9811,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0053_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2000.27,-975.367,-875.367,0.7616815567016602,0.9849,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0054_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2011.94,-962.96,-862.96,0.7303682565689087,0.9861,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0055_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2005.38,-992.318,-892.318,0.9236781001091005,0.9782,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0056_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2004.71,-976.4760000000001,-876.4760000000001,0.8454648852348328,0.9817,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0057_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2010.55,-1003.575,-903.575,0.7549388408660889,0.9852,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0058_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2018.28,-943.112,-843.112,0.8302994370460509,0.9824,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0059_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2003.32,-993.43,-893.43,0.7904523015022278,0.9839,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0060_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2022.36,-967.758,-867.758,0.7111571431159973,0.9868,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0061_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2007.01,-964.791,-864.791,0.9329532980918884,0.9775,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0062_0001.pdb
2JAI_HM_g,289,1659.97,Alpha Beta,5-stranded Propeller,2009.57,-964.462,-864.462,0.9002249836921692,0.9794,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2JAI/RS/1/r_g_1_S_0063_0001.pdb
