Protein_ID,Protein_SeqL,Protein_EXP_CCS,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1714.33,-332.186,-232.18599999999998,18.44309425354004,0.3249,r_1_S_00000001_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1515.97,-360.312,-307.03076416268857,15.054082870483398,0.2673,r_1_S_00000002_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1671.2,-343.796,-243.796,11.671157836914062,0.34,r_1_S_00000003_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1475.64,-368.416,-366.86336870891625,13.94552516937256,0.3076,r_1_S_00000004_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1636.89,-357.899,-257.899,10.747281074523926,0.3158,r_1_S_00000005_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1641.99,-386.662,-286.662,16.509618759155273,0.2788,r_1_S_00000006_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1469.06,-365.58,-365.5798667259259,10.97912883758545,0.3757,r_1_S_00000007_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1631.33,-357.6280000000001,-257.6280000000001,13.510465621948242,0.3133,r_1_S_00000008_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1557.33,-364.693,-264.7950148249657,13.03116512298584,0.2962,r_1_S_00000009_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1586.19,-383.595,-283.595,14.66994571685791,0.3256,r_1_S_00000010_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1610.09,-353.055,-253.055,16.00813865661621,0.2803,r_1_S_00000011_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1598.98,-363.666,-263.666,11.33957290649414,0.4396,r_1_S_00000012_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1607.52,-340.619,-240.61900000000003,18.22976303100586,0.2656,r_1_S_00000013_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1720.57,-364.6230000000001,-264.6230000000001,15.160508155822756,0.2708,r_1_S_00000014_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1623.02,-332.261,-232.26100000000002,10.580368995666504,0.4057,r_1_S_00000015_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1709.25,-387.274,-287.274,14.57508373260498,0.289,r_1_S_00000016_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1741.61,-369.347,-269.347,14.93197250366211,0.3016,r_1_S_00000017_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1726.2,-370.391,-270.391,13.008530616760256,0.3543,r_1_S_00000018_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1702.18,-353.651,-253.651,15.610366821289062,0.3231,r_1_S_00000019_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1673.17,-382.607,-282.607,7.678606986999513,0.5316,r_1_S_00000020_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1538.49,-319.526,-232.73899721508917,13.889431953430176,0.4091,r_1_S_00000021_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1609.14,-326.42,-226.42000000000002,11.300237655639648,0.4124,r_1_S_00000022_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1558.91,-353.147,-253.14729979999998,15.280977249145508,0.2993,r_1_S_00000023_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1547.04,-313.34,-218.1684879187929,13.42659854888916,0.2665,r_1_S_00000024_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1614.36,-388.033,-288.033,15.022127151489258,0.3187,r_1_S_00000025_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1521.88,-351.0180000000001,-288.01890641207126,15.623514175415039,0.2813,r_1_S_00000026_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1718.89,-362.371,-262.371,17.80374526977539,0.2669,r_1_S_00000027_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1586.96,-361.884,-261.884,12.762855529785154,0.2837,r_1_S_00000028_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1667.63,-371.30800000000005,-271.30800000000005,11.670620918273926,0.4412,r_1_S_00000029_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1644.58,-343.76,-243.76,9.850696563720703,0.3679,r_1_S_00000030_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1566.93,-331.06699999999995,-231.06699999999995,14.703618049621582,0.2711,r_1_S_00000031_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1525.46,-390.101,-321.413910874074,8.312170028686522,0.4507,r_1_S_00000032_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1614.0,-348.707,-248.707,14.085853576660154,0.3074,r_1_S_00000033_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1580.01,-335.055,-235.055,11.49160861968994,0.401,r_1_S_00000034_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1683.11,-357.47,-257.47,13.087130546569824,0.3998,r_1_S_00000035_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1532.92,-364.736,-285.06075289108355,12.317095756530762,0.2726,r_1_S_00000036_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1588.16,-365.016,-265.016,16.152229309082028,0.3352,r_1_S_00000037_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1600.22,-373.973,-273.973,10.986795425415039,0.3052,r_1_S_00000038_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1734.31,-356.946,-256.946,12.358016967773438,0.3192,r_1_S_00000039_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1590.22,-367.578,-267.578,16.33343505859375,0.2735,r_1_S_00000040_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1560.92,-376.056,-276.056,12.860745429992676,0.3192,r_1_S_00000041_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1620.76,-357.766,-257.766,14.882898330688475,0.3351,r_1_S_00000042_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1734.13,-375.452,-275.452,16.393775939941403,0.2667,r_1_S_00000043_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1688.45,-340.57199999999995,-240.57199999999995,12.80627155303955,0.3072,r_1_S_00000044_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1554.48,-369.499,-270.2303466644719,15.33377170562744,0.4291,r_1_S_00000045_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1565.77,-341.071,-241.07100000000003,15.581172943115234,0.2885,r_1_S_00000046_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1596.01,-371.711,-271.711,14.87450122833252,0.2711,r_1_S_00000047_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1658.03,-393.171,-293.171,15.378896713256836,0.2805,r_1_S_00000048_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1593.07,-345.97,-245.97000000000003,14.058773040771484,0.2707,r_1_S_00000049_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1579.29,-360.384,-260.384,16.672956466674805,0.2854,r_1_S_00000050_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1696.15,-378.084,-278.084,12.04576301574707,0.3364,r_1_S_00000051_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1550.07,-352.037,-254.79514527928671,16.861566543579098,0.2601,r_1_S_00000052_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1592.5,-355.536,-255.536,14.741992950439453,0.2508,r_1_S_00000053_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1492.92,-336.665,-319.22844479780514,13.95894718170166,0.2709,r_1_S_00000054_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1688.01,-338.099,-238.099,16.126001358032227,0.2691,r_1_S_00000055_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1523.71,-369.51,-303.57783226639225,12.745421409606935,0.3328,r_1_S_00000056_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1569.35,-383.279,-283.279,14.352871894836426,0.2781,r_1_S_00000057_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1564.59,-333.8280000000001,-233.8280000000001,17.38762092590332,0.294,r_1_S_00000058_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1670.38,-327.78,-227.77999999999997,12.403831481933596,0.3976,r_1_S_00000059_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1505.11,-358.06,-322.6839107355283,11.982122421264648,0.3927,r_1_S_00000060_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1508.57,-397.954,-356.9600759925927,13.68120574951172,0.3429,r_1_S_00000061_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1517.21,-375.976,-320.6350743925925,13.558740615844727,0.2752,r_1_S_00000062_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1536.37,-349.031,-264.8188123602196,18.47698783874512,0.2886,r_1_S_00000063_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1577.44,-362.138,-262.138,14.462835311889648,0.2678,r_1_S_00000064_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1621.51,-357.626,-257.626,14.661672592163086,0.2194,r_1_S_00000065_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1553.86,-381.085,-282.02624808120714,7.469906330108643,0.4063,r_1_S_00000066_0001
1VXG_EX,153,1459,Mainly Alpha,Orthogonal Bundle,1524.79,-378.251,-310.61230755528123,14.129498481750488,0.3135,r_1_S_00000067_0001
