Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1T9F_HM_g,187,1495.83,Mainly Beta,Trefoil,1512.98,-580.0409999999998,-578.2478555212618,1.9410132169723509,0.9318,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1T9F/RS/1/r_g_1_S_0001_0001.pdb
1T9F_HM_g,187,1495.83,Mainly Beta,Trefoil,1500.03,-569.361,-569.361,1.753441572189331,0.9275,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1T9F/RS/1/r_g_1_S_0002_0001.pdb
1T9F_HM_g,187,1495.83,Mainly Beta,Trefoil,1513.46,-551.054,-549.0196827015088,2.197272539138794,0.9211,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1T9F/RS/1/r_g_1_S_0003_0001.pdb
1T9F_HM_g,187,1495.83,Mainly Beta,Trefoil,1502.89,-578.4580000000002,-578.4580000000002,2.1968340873718257,0.9289,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1T9F/RS/1/r_g_1_S_0004_0001.pdb
1T9F_HM_g,187,1495.83,Mainly Beta,Trefoil,1528.01,-574.757,-559.5300947138544,1.711434006690979,0.9334,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1T9F/RS/1/r_g_1_S_0005_0001.pdb
1T9F_HM_g,187,1495.83,Mainly Beta,Trefoil,1534.79,-554.274,-529.8751531237311,1.9805458784103396,0.9312,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1T9F/RS/1/r_g_1_S_0006_0001.pdb
1T9F_HM_g,187,1495.83,Mainly Beta,Trefoil,1520.8,-572.702,-565.3223481407407,1.9199786186218264,0.9225,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1T9F/RS/1/r_g_1_S_0007_0001.pdb
1T9F_HM_g,187,1495.83,Mainly Beta,Trefoil,1537.72,-558.636,-529.8678262740739,1.8354096412658687,0.9295,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1T9F/RS/1/r_g_1_S_0008_0001.pdb
1T9F_HM_g,187,1495.83,Mainly Beta,Trefoil,1517.43,-566.7909999999998,-562.2355256515772,1.6880871057510376,0.9297,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1T9F/RS/1/r_g_1_S_0009_0001.pdb
1T9F_HM_g,187,1495.83,Mainly Beta,Trefoil,1527.44,-579.196,-564.6686380743483,1.9957753419876096,0.9258,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1T9F/RS/1/r_g_1_S_0010_0001.pdb
