Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
5LB7_EX,78,1142.17,Mainly Alpha,Up-down Bundle,1055.55,-217.837,-123.8103738074073,1.8340373039245603,0.8167,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/5LB7/RS/EX/1/r_1_S_00000001_0001.pdb
5LB7_EX,78,1142.17,Mainly Alpha,Up-down Bundle,1075.72,-229.055,-160.38349756515768,1.6365859508514404,0.85,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/5LB7/RS/EX/1/r_1_S_00000002_0001.pdb
5LB7_EX,78,1142.17,Mainly Alpha,Up-down Bundle,1069.11,-211.463,-132.97905339259233,1.5454554557800293,0.875,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/5LB7/RS/EX/1/r_1_S_00000003_0001.pdb
5LB7_EX,78,1142.17,Mainly Alpha,Up-down Bundle,1075.0,-214.071,-144.28217566886133,1.349373459815979,0.884,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/5LB7/RS/EX/1/r_1_S_00000004_0001.pdb
5LB7_EX,78,1142.17,Mainly Alpha,Up-down Bundle,1066.97,-217.081,-135.6756249657064,1.4431533813476562,0.8699,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/5LB7/RS/EX/1/r_1_S_00000005_0001.pdb
5LB7_EX,78,1142.17,Mainly Alpha,Up-down Bundle,1061.88,-235.78,-148.06760820000005,1.622758865356445,0.8659,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/5LB7/RS/EX/1/r_1_S_00000006_0001.pdb
5LB7_EX,78,1142.17,Mainly Alpha,Up-down Bundle,1050.79,-220.466,-123.0422935725651,1.7731980085372925,0.8381,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/5LB7/RS/EX/1/r_1_S_00000007_0001.pdb
5LB7_EX,78,1142.17,Mainly Alpha,Up-down Bundle,1056.82,-230.362,-137.44836978737985,1.6626236438751218,0.88,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/5LB7/RS/EX/1/r_1_S_00000008_0001.pdb
5LB7_EX,78,1142.17,Mainly Alpha,Up-down Bundle,1052.25,-212.501,-115.98321439999995,1.9019215106964111,0.8202,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/5LB7/RS/EX/1/r_1_S_00000009_0001.pdb
5LB7_EX,78,1142.17,Mainly Alpha,Up-down Bundle,1061.21,-227.587,-139.1200602842249,1.5194458961486816,0.8991,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/5LB7/RS/EX/1/r_1_S_00000010_0001.pdb
5LB7_EX,78,1142.17,Mainly Alpha,Up-down Bundle,1063.3,-235.634,-149.58196285404648,1.6093976497650146,0.872,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/5LB7/RS/EX/1/r_1_S_00000011_0001.pdb
5LB7_EX,78,1142.17,Mainly Alpha,Up-down Bundle,1060.76,-231.578,-142.61501254348414,1.4792129993438718,0.8903,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/5LB7/RS/EX/1/r_1_S_00000012_0001.pdb
5LB7_EX,78,1142.17,Mainly Alpha,Up-down Bundle,1064.96,-225.206,-141.1950507163237,1.8525681495666504,0.794,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/5LB7/RS/EX/1/r_1_S_00000013_0001.pdb
5LB7_EX,78,1142.17,Mainly Alpha,Up-down Bundle,1067.88,-230.677,-150.49624227407412,1.655219554901123,0.8428,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/5LB7/RS/EX/1/r_1_S_00000014_0001.pdb
5LB7_EX,78,1142.17,Mainly Alpha,Up-down Bundle,1065.95,-229.984,-147.23876539039776,1.3755336999893188,0.8833,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/5LB7/RS/EX/1/r_1_S_00000015_0001.pdb
5LB7_EX,78,1142.17,Mainly Alpha,Up-down Bundle,1057.6,-224.012,-131.82209917503414,1.763856053352356,0.8196,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/Abinitio/5LB7/RS/EX/1/r_1_S_00000016_0001.pdb
