Protein_ID,Protein_SeqL,Protein_EXP_CCS,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4292.21,-2127.623,-2027.623,5.96672248840332,0.8314,r_1_S_0001_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4278.49,-2136.467,-2036.467,6.216696739196777,0.8144,r_1_S_0002_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4356.73,-1659.4779999999996,-1612.3599128348412,6.2433528900146475,0.7971,r_1_S_0003_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4253.36,-2081.054,-1981.054,5.298844337463379,0.8451,r_1_S_0004_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4283.99,-2029.998,-1929.998,5.253385543823242,0.8394,r_1_S_0005_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4343.0,-1984.549,-1915.023074074074,6.491929054260254,0.79,r_1_S_0006_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4304.91,-1885.275,-1785.275,6.118081092834473,0.8114,r_1_S_0007_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4284.97,-2083.049,-1983.049,5.752301692962647,0.828,r_1_S_0008_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4233.17,-2103.415,-2003.415,5.975212097167969,0.8095,r_1_S_0009_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4322.48,-1898.947,-1804.1822644740737,5.610286235809326,0.831,r_1_S_0010_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4339.71,-1584.08,-1509.577341258985,5.305383205413818,0.8428,r_1_S_0011_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4277.41,-2074.8,-1974.8000000000002,5.5707430839538565,0.8255,r_1_S_0012_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4281.8,-2113.711,-2013.7109999999998,5.1424241065979,0.8491,r_1_S_0013_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4318.14,-2142.405,-2044.7110885750346,5.62337064743042,0.8405,r_1_S_0014_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4377.2,-1284.043,-1268.0413407407405,8.20246696472168,0.6579999999999999,r_1_S_0015_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4263.25,-2116.58,-2016.58,5.1778645515441895,0.848,r_1_S_0016_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4301.68,-2026.346,-1926.346,5.398502826690674,0.8303,r_1_S_0017_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4276.28,-2149.37,-2049.37,6.082837104797362,0.8220000000000001,r_1_S_0018_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4256.14,-1971.861,-1871.861,5.889132022857666,0.8041,r_1_S_0019_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4266.23,-2130.097,-2030.0970000000002,5.901430130004883,0.8222,r_1_S_0020_0001
3QYT_HM,679,4410,Alpha Beta,3-Layer(aba) Sandwich,4288.0,-2152.601,-2052.601,5.894059658050537,0.8329,r_1_S_0021_0001
