Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1N7V_HM_g,555,3965.78,Mainly Beta,3 Propeller,4247.3,-841.449,-741.449,30.25222206115723,0.1794,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1N7V/RS/1/r_g_1_S_0001_0001.pdb
1N7V_HM_g,555,3965.78,Mainly Beta,3 Propeller,3879.59,-908.9169999999999,-815.2579833083674,30.733217239379886,0.1612,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1N7V/RS/1/r_g_1_S_0002_0001.pdb
1N7V_HM_g,555,3965.78,Mainly Beta,3 Propeller,3745.71,-817.382,-717.382,32.49349975585937,0.1752,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1N7V/RS/1/r_g_1_S_0003_0001.pdb
1N7V_HM_g,555,3965.78,Mainly Beta,3 Propeller,3885.98,-748.2410000000001,-661.0923009602194,32.023452758789055,0.1732,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1N7V/RS/1/r_g_1_S_0004_0001.pdb
1N7V_HM_g,555,3965.78,Mainly Beta,3 Propeller,3923.24,1221.356,1251.1200425064478,30.54692649841309,0.1795,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1N7V/RS/1/r_g_1_S_0005_0001.pdb
1N7V_HM_g,555,3965.78,Mainly Beta,3 Propeller,4067.8,-901.012,-801.012,37.82146072387695,0.1598,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1N7V/RS/1/r_g_1_S_0006_0001.pdb
1N7V_HM_g,555,3965.78,Mainly Beta,3 Propeller,3545.47,-745.258,-645.258,34.35302734375,0.1576,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1N7V/RS/1/r_g_1_S_0007_0001.pdb
1N7V_HM_g,555,3965.78,Mainly Beta,3 Propeller,3888.12,-898.698,-814.1234751978049,30.70458602905273,0.1835,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1N7V/RS/1/r_g_1_S_0008_0001.pdb
1N7V_HM_g,555,3965.78,Mainly Beta,3 Propeller,3805.09,-858.817,-758.817,32.59590530395508,0.1523,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1N7V/RS/1/r_g_1_S_0009_0001.pdb
1N7V_HM_g,555,3965.78,Mainly Beta,3 Propeller,3712.97,-851.217,-751.217,30.58824920654297,0.162,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1N7V/RS/1/r_g_1_S_0010_0001.pdb
1N7V_HM_g,555,3965.78,Mainly Beta,3 Propeller,3942.41,-949.882,-943.917061249108,29.94002914428711,0.1715,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1N7V/RS/1/r_g_1_S_0011_0001.pdb
