Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3697.82,-1906.674,-1806.674,3.1206958293914795,0.9309,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0001_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3624.35,-1922.8129999999999,-1912.1125971336078,3.2988688945770264,0.927,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0002_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3639.88,-2007.745,-1976.010591725926,3.447104930877685,0.9226,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0003_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3677.97,-1966.146,-1876.6528886145409,3.6302218437194815,0.9119,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0004_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3661.39,-2047.747,-1980.8485376592598,3.317725419998169,0.9267,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0005_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3667.55,-1815.237,-1738.9982646891633,3.0919909477233887,0.9307,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0006_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3630.8,-1883.766,-1865.2644516644718,3.74219822883606,0.9161,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0007_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3651.82,-1884.136,-1832.8861157407407,3.18088173866272,0.9353,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0008_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3711.94,-1291.177,-1191.177,3.233852863311768,0.9281,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0009_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3644.38,-1846.775,-1807.8428550592594,3.3484060764312744,0.924,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0010_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3666.55,-1920.174,-1845.3916896,3.3420231342315674,0.9229999999999999,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0011_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3691.31,-1949.391,-1850.200581844719,3.044209718704224,0.9334,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0012_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3653.6,-1909.441,-1855.2287762076821,2.8361611366271973,0.9386,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0013_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3649.16,-1863.9879999999998,-1817.1694217089166,3.1898005008697514,0.9266,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0014_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3645.77,-1968.4189999999999,-1927.2114891632375,3.0450835227966313,0.9328,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0015_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3618.4,-1849.8029999999999,-1844.6865705999999,3.1603751182556152,0.9314,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0016_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3708.06,-1894.17,-1794.17,3.273621797561645,0.9243,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0017_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3702.01,-1856.369,-1756.369,3.3704307079315186,0.9256,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0018_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3647.73,-2021.06,-1976.6164445256518,3.320146083831787,0.9309,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0019_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3647.65,-1903.3929999999998,-1859.0820256,3.0656116008758545,0.9338,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0020_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3660.43,-1877.6070000000002,-1812.2319728000007,3.423172235488892,0.9145,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0021_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3648.36,-1895.7279999999998,-1850.23920644417,3.4519498348236084,0.9207,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0022_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3692.62,-1967.87,-1868.2995675925927,3.0497446060180664,0.9377,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0023_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3631.83,-1847.983,-1828.0956976614543,3.0690295696258545,0.9359999999999999,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0024_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3646.23,-1942.908,-1900.9435610688615,3.214452028274536,0.9279999999999999,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0025_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3617.64,-1952.4289999999999,-1947.8959562120715,3.480803966522217,0.9258,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0026_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3654.08,-1934.4620000000002,-1879.4528150620033,3.177233457565308,0.9278,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0027_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3718.08,-1874.297,-1774.297,3.395414113998413,0.9192,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0028_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3647.83,-1884.253,-1839.6436688000003,3.139567613601685,0.9301,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0029_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3717.45,-1921.78,-1821.78,3.370414018630981,0.9234,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0030_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3698.24,-1153.779,-1053.779,3.0683417320251465,0.9348,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0031_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3679.75,-1924.217,-1832.8890208592595,3.2504117488861084,0.9227,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0032_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3673.5,-1906.8670000000002,-1822.5795906466396,3.445101022720337,0.9179,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0033_0001.pdb
1KB0_HM_g,677,3596.07,Mainly Beta,8 Propeller  Orthogonal Bundle,3702.55,-1971.2979999999998,-1871.2979999999998,3.6254389286041264,0.9155,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1KB0/RS/1/r_g_1_S_0034_0001.pdb
