Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1LI1_HM_g,229,2280.16,Mainly Beta,Beta Complex,2089.88,-587.663,-487.663,1.4671373367309568,0.9451,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1LI1/RS/1/r_g_1_S_0001_0001.pdb
1LI1_HM_g,229,2280.16,Mainly Beta,Beta Complex,2091.98,-615.494,-515.494,1.5645484924316406,0.9467,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1LI1/RS/1/r_g_1_S_0002_0001.pdb
1LI1_HM_g,229,2280.16,Mainly Beta,Beta Complex,2081.85,-628.48,-528.48,1.8417532444000244,0.9238,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1LI1/RS/1/r_g_1_S_0003_0001.pdb
1LI1_HM_g,229,2280.16,Mainly Beta,Beta Complex,2094.55,-593.78,-493.78,2.058926105499268,0.9097,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1LI1/RS/1/r_g_1_S_0004_0001.pdb
1LI1_HM_g,229,2280.16,Mainly Beta,Beta Complex,2088.73,-621.2869999999998,-521.2869999999998,1.5817065238952637,0.9417,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1LI1/RS/1/r_g_1_S_0005_0001.pdb
1LI1_HM_g,229,2280.16,Mainly Beta,Beta Complex,2074.3,-591.5269999999998,-491.5269999999998,1.714293122291565,0.9353,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1LI1/RS/1/r_g_1_S_0006_0001.pdb
1LI1_HM_g,229,2280.16,Mainly Beta,Beta Complex,2123.97,-598.278,-498.278,1.506564021110535,0.9463,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1LI1/RS/1/r_g_1_S_0007_0001.pdb
1LI1_HM_g,229,2280.16,Mainly Beta,Beta Complex,2089.66,-598.477,-498.477,2.115234136581421,0.9096,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1LI1/RS/1/r_g_1_S_0008_0001.pdb
1LI1_HM_g,229,2280.16,Mainly Beta,Beta Complex,2070.17,-594.906,-494.90599999999995,1.7498198747634888,0.9315,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1LI1/RS/1/r_g_1_S_0009_0001.pdb
1LI1_HM_g,229,2280.16,Mainly Beta,Beta Complex,2107.71,-606.653,-506.653,1.5706759691238403,0.9389,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1LI1/RS/1/r_g_1_S_0010_0001.pdb
