Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1182.94,-483.60400000000004,-482.8630833676269,1.049906849861145,0.9549,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0001_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1192.82,-474.26199999999994,-474.26199999999994,1.096797227859497,0.953,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0002_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1194.22,-484.351,-484.351,1.0849074125289917,0.9511,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0003_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1200.97,-473.801,-473.801,1.0968809127807615,0.9505,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0004_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1199.62,-480.635,-480.635,1.1926521062850952,0.9428,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0005_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1175.86,-491.73699999999997,-487.15904560960206,1.0087995529174805,0.9571,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0006_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1194.85,-494.099,-494.099,0.966750979423523,0.9563,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0007_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1188.24,-489.519,-489.519,1.0430032014846802,0.9551,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0008_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1179.77,-484.54699999999997,-482.4658794644718,1.0034767389297483,0.9583,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0009_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1201.8,-490.699,-490.699,1.1272748708724976,0.9481,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0010_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1175.66,-483.92199999999997,-479.19291741755836,1.0098354816436768,0.9581,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0011_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1196.99,-480.481,-480.481,1.1261953115463257,0.9512,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0012_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1200.56,-471.376,-471.376,1.2076209783554075,0.9423,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0013_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1196.65,-482.07599999999996,-482.07599999999996,1.1103695631027222,0.9487,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0014_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1200.99,-481.515,-481.515,1.18173348903656,0.9447,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0015_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1206.67,-475.656,-475.656,1.1889405250549316,0.9432,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0016_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1202.9,-484.85400000000004,-484.85400000000004,1.0547928810119631,0.9545,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0017_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1187.89,-479.12,-479.12,1.0309467315673828,0.9559,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0018_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1194.52,-484.505,-484.505,1.0971757173538208,0.9502,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0019_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1201.1,-477.811,-477.811,1.114370584487915,0.9499,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0020_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1200.0,-483.69300000000004,-483.69300000000004,1.1890710592269895,0.9440000000000001,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0021_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1177.52,-479.111,-475.70137187187925,1.0158011913299558,0.9573,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0022_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1198.34,-473.591,-473.591,1.2267308235168457,0.9398,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0023_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1194.86,-481.745,-481.745,1.1906919479370115,0.9444,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0024_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1200.08,-485.907,-485.907,1.049250245094299,0.9544,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0025_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1187.45,-486.625,-486.62494075829903,1.0257431268692017,0.956,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0026_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1197.95,-485.80400000000003,-485.80400000000003,1.0831236839294434,0.9520000000000001,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0027_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1190.46,-477.695,-477.695,1.10184907913208,0.9502,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0028_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1180.06,-485.54400000000004,-483.6119042268861,1.0018950700759888,0.9579,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0029_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1181.37,-487.22,-485.89568639999993,1.0510779619216921,0.9539,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0030_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1200.24,-481.634,-481.634,1.068038821220398,0.9527,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0031_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1192.05,-478.045,-478.045,1.058132886886597,0.9529,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0032_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1200.68,-481.35,-481.35,1.0609012842178345,0.9540000000000001,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0033_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1186.99,-484.6,-484.59077503429353,0.9645708203315736,0.9568,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0034_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1189.92,-491.216,-491.216,1.0184026956558228,0.9567,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0035_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1191.15,-488.01,-488.01,1.0238134860992432,0.9569,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0036_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1178.63,-488.92800000000005,-486.21141850644733,1.0119909048080444,0.9574,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0037_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1182.86,-482.23900000000003,-481.4722706027435,1.0477514266967771,0.9541,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0038_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1168.98,-500.785,-489.8352563925926,0.9181517958641052,0.9596,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0039_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1195.29,-494.473,-494.473,1.0840048789978027,0.9508,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0040_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1191.24,-475.9,-475.9,1.1731488704681396,0.9453,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0041_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1190.73,-482.728,-482.728,1.0234403610229492,0.9569,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0042_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1200.22,-487.645,-487.645,1.0564918518066406,0.9539,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0043_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1178.09,-478.528,-475.4832768175583,1.0481065511703491,0.9556,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0044_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1195.79,-472.538,-472.538,1.0954082012176514,0.9502,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0045_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1200.15,-477.17,-477.17,1.1735830307006836,0.9462,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0046_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1193.23,-477.793,-477.793,1.0909444093704224,0.9514,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0047_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1189.62,-485.19,-485.19,1.1131174564361572,0.9494,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0048_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1184.97,-491.548,-491.3171904,1.0400817394256592,0.9552,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0049_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1192.91,-477.009,-477.009,1.0687265396118164,0.9529,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0050_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1185.64,-479.075,-478.9499778120714,1.0235664844512942,0.9566,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0051_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1188.32,-482.441,-482.441,1.1640176773071291,0.9455,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0052_0001.pdb
2F3L_HM_g,184,1197.49,Mainly Beta,3 Solenoid,1175.62,-490.276,-485.51642927379964,0.8880354762077332,0.9623,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/2F3L/RS/1/r_g_1_S_0053_0001.pdb
