Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1OKC_HM_g,297,2035.54,Mainly Alpha,Alpha/alpha barrel,2325.11,-725.758,-625.758,4.7406954765319815,0.8572,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1OKC/RS/1/r_g_1_S_0001_0001.pdb
1OKC_HM_g,297,2035.54,Mainly Alpha,Alpha/alpha barrel,2454.54,-748.927,-648.927,3.8869762420654297,0.8804,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1OKC/RS/1/r_g_1_S_0002_0001.pdb
1OKC_HM_g,297,2035.54,Mainly Alpha,Alpha/alpha barrel,2336.82,-786.05,-686.05,2.918776273727417,0.8941,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1OKC/RS/1/r_g_1_S_0003_0001.pdb
1OKC_HM_g,297,2035.54,Mainly Alpha,Alpha/alpha barrel,2341.34,-776.082,-676.082,3.272406578063965,0.8878,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1OKC/RS/1/r_g_1_S_0004_0001.pdb
1OKC_HM_g,297,2035.54,Mainly Alpha,Alpha/alpha barrel,2342.1,-765.715,-665.715,3.671489715576172,0.8786,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1OKC/RS/1/r_g_1_S_0005_0001.pdb
1OKC_HM_g,297,2035.54,Mainly Alpha,Alpha/alpha barrel,2345.73,-741.45,-641.45,3.982806205749512,0.8792,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1OKC/RS/1/r_g_1_S_0006_0001.pdb
1OKC_HM_g,297,2035.54,Mainly Alpha,Alpha/alpha barrel,2381.09,-670.676,-570.676,3.963389158248901,0.8579,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1OKC/RS/1/r_g_1_S_0007_0001.pdb
1OKC_HM_g,297,2035.54,Mainly Alpha,Alpha/alpha barrel,2362.52,-776.794,-676.794,2.7229762077331543,0.9035,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1OKC/RS/1/r_g_1_S_0008_0001.pdb
1OKC_HM_g,297,2035.54,Mainly Alpha,Alpha/alpha barrel,2386.74,-782.836,-682.836,2.7723207473754883,0.8986,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1OKC/RS/1/r_g_1_S_0009_0001.pdb
1OKC_HM_g,297,2035.54,Mainly Alpha,Alpha/alpha barrel,2375.33,-790.835,-690.835,3.565396547317505,0.9041,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1OKC/RS/1/r_g_1_S_0010_0001.pdb
1OKC_HM_g,297,2035.54,Mainly Alpha,Alpha/alpha barrel,2404.41,-742.007,-642.007,3.425063133239746,0.8867,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1OKC/RS/1/r_g_1_S_0011_0001.pdb
