Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
3RST_HM_g,240,2158.72,Alpha Beta  Special,Alpha-Beta Complex  Other non-globular,2133.01,-804.182,-796.1048364639236,1.8206043243408203,0.9218,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3RST/RS/1/r_g_1_S_0001_0001.pdb
3RST_HM_g,240,2158.72,Alpha Beta  Special,Alpha-Beta Complex  Other non-globular,2114.57,-798.6389999999999,-766.371911076818,2.589820384979248,0.8772,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3RST/RS/1/r_g_1_S_0002_0001.pdb
3RST_HM_g,240,2158.72,Alpha Beta  Special,Alpha-Beta Complex  Other non-globular,2119.71,-794.007,-769.535374540741,2.688607215881348,0.8705,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3RST/RS/1/r_g_1_S_0003_0001.pdb
3RST_HM_g,240,2158.72,Alpha Beta  Special,Alpha-Beta Complex  Other non-globular,2109.9,-798.658,-758.8932458074079,2.6436798572540283,0.877,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3RST/RS/1/r_g_1_S_0004_0001.pdb
3RST_HM_g,240,2158.72,Alpha Beta  Special,Alpha-Beta Complex  Other non-globular,2127.78,-799.715,-785.9938917925931,2.785545825958252,0.8711,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3RST/RS/1/r_g_1_S_0005_0001.pdb
3RST_HM_g,240,2158.72,Alpha Beta  Special,Alpha-Beta Complex  Other non-globular,2142.11,-802.6339999999999,-801.0950072101509,1.8784958124160769,0.9216,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3RST/RS/1/r_g_1_S_0006_0001.pdb
3RST_HM_g,240,2158.72,Alpha Beta  Special,Alpha-Beta Complex  Other non-globular,2129.19,-790.008,-777.9249626000003,2.584653377532959,0.8798,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3RST/RS/1/r_g_1_S_0007_0001.pdb
3RST_HM_g,240,2158.72,Alpha Beta  Special,Alpha-Beta Complex  Other non-globular,2137.69,-795.305,-791.1671943009603,1.8121091127395632,0.9184,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3RST/RS/1/r_g_1_S_0008_0001.pdb
3RST_HM_g,240,2158.72,Alpha Beta  Special,Alpha-Beta Complex  Other non-globular,2118.84,-791.97,-766.2216736000006,2.6930861473083496,0.8853,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3RST/RS/1/r_g_1_S_0009_0001.pdb
3RST_HM_g,240,2158.72,Alpha Beta  Special,Alpha-Beta Complex  Other non-globular,2100.92,-801.982,-747.3213558299044,3.35386061668396,0.8503,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3RST/RS/1/r_g_1_S_0010_0001.pdb
3RST_HM_g,240,2158.72,Alpha Beta  Special,Alpha-Beta Complex  Other non-globular,2120.56,-791.632,-768.3884934145407,2.603339433670044,0.871,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3RST/RS/1/r_g_1_S_0011_0001.pdb
3RST_HM_g,240,2158.72,Alpha Beta  Special,Alpha-Beta Complex  Other non-globular,2119.39,-804.632,-779.6930421775035,2.51868748664856,0.88,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3RST/RS/1/r_g_1_S_0012_0001.pdb
