Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
3ODJ_HM_g,196,1445.7,Mainly Alpha,Up-down Bundle,1613.95,-472.335,-372.335,2.9767091274261475,0.9393,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ODJ/RS/1/r_g_1_S_0001_0001.pdb
3ODJ_HM_g,196,1445.7,Mainly Alpha,Up-down Bundle,1578.74,-470.06,-370.06,4.208186626434326,0.8702,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ODJ/RS/1/r_g_1_S_0002_0001.pdb
3ODJ_HM_g,196,1445.7,Mainly Alpha,Up-down Bundle,1604.19,-459.225,-359.225,2.775108814239502,0.9093,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ODJ/RS/1/r_g_1_S_0003_0001.pdb
3ODJ_HM_g,196,1445.7,Mainly Alpha,Up-down Bundle,1568.54,-447.19599999999997,-347.19599999999997,4.134410381317139,0.8778,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ODJ/RS/1/r_g_1_S_0004_0001.pdb
3ODJ_HM_g,196,1445.7,Mainly Alpha,Up-down Bundle,1611.12,-493.342,-393.342,3.0646450519561768,0.9259999999999999,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ODJ/RS/1/r_g_1_S_0005_0001.pdb
3ODJ_HM_g,196,1445.7,Mainly Alpha,Up-down Bundle,1582.3,-468.838,-368.838,5.623730659484863,0.8518,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ODJ/RS/1/r_g_1_S_0006_0001.pdb
3ODJ_HM_g,196,1445.7,Mainly Alpha,Up-down Bundle,1632.59,-488.54400000000004,-388.54400000000004,2.657733201980591,0.9196,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ODJ/RS/1/r_g_1_S_0007_0001.pdb
3ODJ_HM_g,196,1445.7,Mainly Alpha,Up-down Bundle,1602.56,-398.324,-298.324,2.717625617980957,0.8976,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ODJ/RS/1/r_g_1_S_0008_0001.pdb
3ODJ_HM_g,196,1445.7,Mainly Alpha,Up-down Bundle,1633.0,-468.346,-368.346,3.2626771926879883,0.9154,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ODJ/RS/1/r_g_1_S_0009_0001.pdb
3ODJ_HM_g,196,1445.7,Mainly Alpha,Up-down Bundle,1628.06,-438.29900000000004,-338.29900000000004,3.061868906021118,0.8678,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ODJ/RS/1/r_g_1_S_0010_0001.pdb
