Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2799.88,-1247.524,-1147.524,3.4879908561706543,0.9056,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0001_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2799.33,-1248.277,-1148.277,3.51967716217041,0.9013,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0002_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2794.88,-1248.6860000000001,-1148.6860000000001,3.176962614059448,0.9119,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0003_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2801.39,-1262.737,-1162.737,3.5127668380737305,0.9041,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0004_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2850.95,-1244.203,-1144.203,1.7192623615264893,0.9586,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0005_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2794.02,-1248.69,-1148.69,3.390763998031616,0.9013,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0006_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2788.65,-1228.743,-1128.743,3.839738368988037,0.9039,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0007_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2794.98,-1227.8139999999999,-1127.8139999999999,4.1977319717407235,0.8956,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0008_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2805.84,-1264.751,-1164.751,3.719017744064331,0.8999,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0009_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2832.41,-1234.53,-1134.53,2.552692413330078,0.9266,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0010_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2825.98,-1261.6789999999999,-1161.6789999999999,2.379309892654419,0.9276,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0011_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2842.44,-1279.056,-1179.056,1.573397874832153,0.9642,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0012_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2823.73,-1247.5610000000001,-1147.5610000000001,2.892995595932007,0.9187,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0013_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2801.58,-1246.18,-1146.18,4.144236087799071,0.8976,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0014_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2840.19,-1255.181,-1155.181,1.1183956861495972,0.9782,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0015_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2821.32,-1247.4569999999999,-1147.4569999999999,1.24138081073761,0.9731,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0016_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2815.62,-1266.112,-1166.112,3.2680492401123047,0.9219,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0017_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2825.98,-1262.531,-1162.531,2.985145807266236,0.9163,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0018_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2815.67,-1253.863,-1153.863,1.3863402605056765,0.9699,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0019_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2833.23,-1241.594,-1141.594,1.8028968572616575,0.9552,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0020_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2801.84,-1255.201,-1155.201,2.4367876052856445,0.9415,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0021_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2829.17,-1252.755,-1152.755,2.9347939491271973,0.9337,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0022_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2814.26,-1264.833,-1164.833,3.165358304977417,0.9086,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0023_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2793.21,-1265.78,-1165.78,4.0658817291259775,0.8998,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0024_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2792.82,-1221.597,-1121.597,3.1694812774658203,0.9089,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0025_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2840.14,-1237.975,-1137.975,2.3941457271575928,0.9322,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0026_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2822.71,-1241.181,-1141.181,2.105236768722534,0.9457,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0027_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2813.44,-1250.318,-1150.318,2.6321582794189453,0.9345,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0028_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2841.2,-1265.871,-1165.871,2.1093900203704834,0.9469,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0029_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2821.09,-1260.998,-1160.998,1.5855681896209717,0.9647,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0030_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2813.69,-1248.048,-1148.048,3.6984467506408687,0.8978,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0031_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2726.34,-1267.338,-1167.338,6.1908040046691895,0.8878,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0032_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2843.89,-1251.405,-1151.405,1.7366245985031128,0.9596,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0033_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2825.84,-1247.1860000000001,-1147.1860000000001,1.1189525127410889,0.9781,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0034_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2847.37,-1243.865,-1143.865,1.9373191595077517,0.9527,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0035_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2828.06,-1256.468,-1156.468,1.696242094039917,0.9587,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0036_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2777.1,-1257.5610000000001,-1157.5610000000001,3.621047973632813,0.9094,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0037_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2811.77,-1247.64,-1147.64,3.320895910263061,0.9229999999999999,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0038_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2826.43,-1264.138,-1164.138,2.0834295749664307,0.9365,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0039_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2818.51,-1240.355,-1140.355,1.5593451261520386,0.9623,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0040_0001.pdb
1YU0_HM_g,381,3278.75,Alpha Beta  Mainly Beta,Alpha-Beta Complex  Ribbon  Trefoil,2804.7,-1236.401,-1136.401,3.473275899887085,0.9031,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1YU0/RS/1/r_g_1_S_0041_0001.pdb
