Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4727.16,-2424.139,-2423.583619192593,4.069202423095703,0.9297,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0001_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4721.99,-2536.015,-2533.1547039780517,5.528679847717285,0.9413,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0002_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4707.06,-2551.228,-2533.6481326000003,3.914392709732056,0.9432,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0003_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4635.88,-2557.416,-2457.416,3.521790027618408,0.9279,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0004_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4717.64,-2529.155,-2523.122435150892,3.743689775466919,0.9416,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0005_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4700.41,-2491.512,-2464.5730442886143,2.6517908573150635,0.9454,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0006_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4692.75,-2494.085,-2455.1039551999997,2.87537693977356,0.9423,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0007_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4614.13,-2579.721,-2479.721,2.783933162689209,0.9432,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0008_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4646.86,-2472.009,-2373.189368029355,2.629979133605957,0.9513,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0009_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4696.19,-2527.59,-2494.140671879286,3.8350145816802983,0.9357,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0010_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4708.19,-2542.153,-2526.025054595335,3.3821897506713867,0.9403,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0011_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4742.86,-2421.803,-2421.803,4.466111660003662,0.9413,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0012_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4652.83,-2520.464,-2425.1248038342933,3.66396427154541,0.9353,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0013_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4700.15,-2494.0389999999998,-2466.7098007089153,5.890867233276367,0.9281,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0014_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4661.42,-2425.969,-2338.971505229904,5.413956642150879,0.9221,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0015_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4717.47,-2466.073,-2459.8956271407405,3.4297449588775635,0.9266,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0016_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4707.07,-2545.723,-2528.156178273799,3.5380547046661377,0.9471,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0017_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4697.73,-2563.819,-2532.7863253925916,3.130111694335937,0.9427,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0018_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4694.2,-2541.257,-2504.627325999725,5.73169469833374,0.9362,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0019_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4667.03,-2526.645,-2446.777972679286,5.520666122436523,0.9238,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0020_0001.pdb
3SAE_HM_g,817,4741.09,Mainly Alpha,Alpha/alpha barrel  Orthogonal Bundle,4747.51,-2484.489,-2484.489,4.213900089263916,0.9303,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3SAE/RS/1/r_g_1_S_0021_0001.pdb
