Protein_ID,Protein_SeqL,Protein_EXP_CCS,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1870.15,-524.565,-424.56500000000005,8.83078384399414,0.7995,r_1_S_0001_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1819.41,-472.414,-372.414,7.556828498840332,0.7416,r_1_S_0002_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1867.19,-374.451,-274.451,11.130632400512695,0.6407,r_1_S_0003_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1847.64,-600.554,-500.554,4.966097354888916,0.8479,r_1_S_0004_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1868.72,-528.453,-428.453,6.798548221588135,0.764,r_1_S_0005_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1888.0,-392.757,-292.757,6.248054504394531,0.767,r_1_S_0006_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1878.65,-499.6,-399.6,5.3462557792663565,0.826,r_1_S_0007_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1797.62,-738.699,-638.699,2.0572714805603027,0.9265,r_1_S_0008_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1892.55,-483.007,-383.007,6.472017765045166,0.7606,r_1_S_0009_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1843.84,-362.018,-262.018,7.335121631622314,0.6970000000000001,r_1_S_0010_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1791.87,-525.237,-425.23699999999997,2.9745938777923584,0.8695,r_1_S_0011_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1867.59,-555.701,-455.701,5.114720344543457,0.8385,r_1_S_0012_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1848.1,-593.719,-493.71900000000005,2.612398624420166,0.8888,r_1_S_0013_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1815.48,-465.631,-365.631,5.216666221618652,0.8004,r_1_S_0014_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1878.46,-417.099,-317.099,9.456608772277832,0.6315,r_1_S_0015_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1812.09,-536.931,-436.93100000000004,11.178817749023438,0.7179,r_1_S_0016_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1870.33,-538.904,-438.904,5.454518795013428,0.8074,r_1_S_0017_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1798.46,-610.4830000000002,-510.4830000000002,4.033644676208496,0.8696,r_1_S_0018_0001
1EX3_HM,245,2040,Mainly Beta,Beta Barrel,1804.69,-663.987,-563.987,3.212879180908203,0.8868,r_1_S_0019_0001
