Protein_ID,Protein_SeqL,Protein_EXP_CCS,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1484.59,-471.727,-371.727,2.9002108573913574,0.8541,r_1_S_0001_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1443.25,-461.093,-361.093,2.592978954315185,0.8642,r_1_S_0002_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1447.9,-478.877,-378.877,2.5379481315612797,0.8748,r_1_S_0003_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1468.88,-478.375,-378.375,2.679117202758789,0.8631,r_1_S_0004_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1466.38,-483.415,-383.415,2.7826619148254395,0.8588,r_1_S_0005_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1484.3,-448.965,-348.965,3.1829094886779785,0.8390000000000001,r_1_S_0006_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1466.54,-420.541,-320.541,2.532534122467041,0.8675,r_1_S_0007_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1490.39,-425.279,-325.279,3.1233110427856445,0.8448,r_1_S_0008_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1482.21,-468.899,-368.899,2.5126547813415527,0.8786,r_1_S_0009_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1453.92,-430.842,-330.842,3.4527621269226074,0.8262,r_1_S_0010_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1493.14,-466.338,-366.338,3.0028035640716557,0.8495,r_1_S_0011_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1474.75,-425.301,-325.301,3.0397980213165283,0.8501,r_1_S_0012_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1481.11,-430.452,-330.452,3.105077743530273,0.8428,r_1_S_0013_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1524.63,-482.657,-383.4237293972565,3.1090691089630127,0.8328,r_1_S_0014_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1445.95,-434.041,-334.041,2.750537157058716,0.8535,r_1_S_0015_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1508.95,-450.959,-350.959,3.3554570674896236,0.8412,r_1_S_0016_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1474.15,-437.181,-337.181,2.7603142261505127,0.871,r_1_S_0017_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1483.71,-447.24300000000005,-347.24300000000005,3.3017473220825195,0.8451,r_1_S_0018_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1464.79,-451.041,-351.041,2.6617119312286377,0.8611,r_1_S_0019_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1476.84,-444.897,-344.897,2.7885446548461914,0.8615,r_1_S_0020_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1454.19,-436.148,-336.148,2.677081823348999,0.8578,r_1_S_0021_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1479.73,-455.334,-355.334,2.8350341320037837,0.8678,r_1_S_0022_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1475.09,-446.584,-346.584,3.4514772891998287,0.8449,r_1_S_0023_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1471.2,-437.465,-337.465,3.1109104156494136,0.8569,r_1_S_0024_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1475.95,-442.162,-342.162,3.3070626258850098,0.8183,r_1_S_0025_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1471.17,-448.225,-348.225,2.760829210281372,0.856,r_1_S_0026_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1483.92,-443.711,-343.711,3.4361796379089355,0.8389,r_1_S_0027_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1489.3,-438.956,-338.956,3.0479023456573486,0.8558,r_1_S_0028_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1464.64,-432.9980000000001,-332.9980000000001,2.897315502166748,0.8573,r_1_S_0029_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1477.2,-457.287,-357.287,3.197712182998657,0.8431,r_1_S_0030_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1452.36,-442.206,-342.206,2.9289426803588867,0.841,r_1_S_0031_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1498.25,-416.598,-316.598,3.0834319591522217,0.8429,r_1_S_0032_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1460.99,-454.224,-354.224,3.0391945838928223,0.8420000000000001,r_1_S_0033_0001
1BEB_HM,156,1620,Mainly Beta,Beta Barrel,1471.84,-445.331,-345.331,2.8746821880340576,0.8647,r_1_S_0034_0001
