Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1862.32,-794.235,-694.235,2.1071128845214844,0.9420000000000001,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0001_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1841.72,-806.0939999999997,-706.0939999999997,1.9037445783615112,0.955,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0002_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1854.31,-798.938,-698.938,1.9560668468475344,0.9503,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0003_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1846.37,-813.605,-713.605,2.1451277732849117,0.9393,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0004_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1851.58,-798.939,-698.939,2.144085645675659,0.9338,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0005_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1875.94,-789.813,-689.813,2.051595687866211,0.9472,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0006_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1866.86,-825.299,-725.299,1.2914884090423584,0.9607,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0007_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1857.2,-778.1030000000003,-678.1030000000003,2.220618724822998,0.9274,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0008_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1850.5,-813.9630000000003,-713.9630000000003,1.8677210807800293,0.9573,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0009_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1845.43,-815.1260000000003,-715.1260000000003,1.797263503074646,0.9635,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0010_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1892.92,-794.15,-694.15,1.530835509300232,0.9531,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0011_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1859.5,-813.071,-713.071,1.9776464700698853,0.9511,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0012_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1851.98,-792.3989999999999,-692.3989999999999,1.9689422845840452,0.9479,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0013_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1843.02,-805.7080000000003,-705.7080000000003,2.137025117874145,0.9393,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0014_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1862.64,-807.707,-707.707,1.948143720626831,0.9540000000000001,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0015_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1864.15,-816.25,-716.25,1.9448121786117556,0.9552,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0016_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1865.12,-818.926,-718.926,2.008258819580078,0.9472,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0017_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1863.6,-808.415,-708.415,1.841435790061951,0.9608,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0018_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1849.92,-831.245,-731.245,1.8671808242797847,0.9585,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0019_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1847.52,-829.183,-729.183,1.4124329090118408,0.9577,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0020_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1852.24,-810.672,-710.672,1.9244365692138672,0.9551,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0021_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1860.99,-816.622,-716.622,1.9570618867874143,0.9549,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0022_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1875.97,-805.216,-705.216,2.0462772846221924,0.9434,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0023_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1840.22,-800.932,-700.932,2.088247537612915,0.9428,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0024_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1854.99,-815.044,-715.044,1.8619627952575684,0.9561,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0025_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1848.26,-790.482,-690.482,1.953717827796936,0.9518,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0026_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1845.7,-804.965,-704.965,2.1205308437347408,0.9389,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0027_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1847.27,-823.175,-723.175,1.9227128028869631,0.9538,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0028_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1842.11,-803.3710000000003,-703.3710000000003,1.906769037246704,0.9583,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0029_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1851.71,-793.962,-693.962,1.8931983709335327,0.9594,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0030_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1845.72,-802.1669999999997,-702.1669999999997,1.983502984046936,0.9486,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0031_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1885.17,-793.6189999999997,-693.6189999999997,1.989595890045166,0.9520000000000001,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0032_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1854.22,-842.334,-742.334,2.219942569732666,0.9321,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0033_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1860.63,-802.3530000000003,-702.3530000000003,1.890278935432434,0.9611,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0034_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1872.75,-798.086,-698.086,1.8869974613189695,0.9557,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0035_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1873.73,-796.9910000000001,-696.9910000000001,1.9558171033859253,0.9490000000000001,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0036_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1846.04,-797.315,-697.315,1.9905127286911009,0.9521,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0037_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1862.46,-798.421,-698.421,1.9538273811340328,0.9596,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0038_0001.pdb
3BXO_HM_g,239,2070.42,Alpha Beta  Mainly Beta,3-Layer(aba) Sandwich  Single Sheet,1849.88,-795.445,-695.445,2.1824877262115483,0.9333,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3BXO/RS/1/r_g_1_S_0039_0001.pdb
