Protein_ID,Protein_SeqL,Protein_EXP_CCS,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
3VWI_HM,179,1838,Mainly Beta,Sandwich,1652.15,-431.862,-331.862,3.114031791687012,0.8367,r_1_S_0001_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1635.93,-419.547,-319.547,2.529536724090576,0.8457,r_1_S_0002_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1680.95,-420.727,-320.727,2.9577062129974365,0.8384,r_1_S_0003_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1606.51,-347.837,-247.837,2.801305294036865,0.8286,r_1_S_0004_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1663.8,-343.245,-243.245,2.602708101272583,0.8295,r_1_S_0005_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1619.47,-371.11,-271.11,2.5951411724090576,0.8275,r_1_S_0006_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1662.01,-368.263,-268.263,2.4647202491760254,0.8298,r_1_S_0007_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1623.48,-286.858,-186.858,4.9205827713012695,0.6991,r_1_S_0008_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1658.76,-353.798,-253.798,3.7682890892028813,0.7481,r_1_S_0009_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1640.82,-310.795,-210.79500000000002,6.401927471160889,0.6815,r_1_S_0010_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1642.69,-321.955,-221.95499999999998,4.6122589111328125,0.74,r_1_S_0011_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1641.81,-351.543,-251.543,2.802241563796997,0.8158,r_1_S_0012_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1648.8,-320.873,-220.873,3.634687900543213,0.7943,r_1_S_0013_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1652.74,-407.14,-307.14,2.671628475189209,0.8386,r_1_S_0014_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1631.94,-411.654,-311.654,3.1295270919799805,0.8052,r_1_S_0015_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1632.26,-375.486,-275.486,3.0996243953704834,0.8005,r_1_S_0016_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1640.9,-397.04,-297.04,2.669341325759888,0.8452,r_1_S_0017_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1634.33,-387.955,-287.955,2.972640991210937,0.8267,r_1_S_0018_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1690.59,-411.037,-311.037,2.5319197177886963,0.8433,r_1_S_0019_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1659.06,-359.67,-259.67,3.0378787517547607,0.8066,r_1_S_0020_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1632.39,-318.515,-218.515,3.2891733646392822,0.7985,r_1_S_0021_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1649.37,-284.723,-184.723,4.1932358741760245,0.7218,r_1_S_0022_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1641.57,-379.881,-279.881,3.995248556137085,0.7721,r_1_S_0023_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1710.39,-277.783,-177.78300000000002,5.496688365936278,0.6321,r_1_S_0024_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1632.21,-370.959,-270.959,4.01729154586792,0.7931,r_1_S_0025_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1655.5,-397.861,-297.861,2.315649509429932,0.8463,r_1_S_0026_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1659.87,-318.751,-218.75099999999998,4.463011264801025,0.745,r_1_S_0027_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1621.15,-351.542,-251.54199999999997,2.6312713623046875,0.8275,r_1_S_0028_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1659.19,-331.965,-231.96499999999997,3.931941270828247,0.7756,r_1_S_0029_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1678.23,-360.65,-260.65,4.919970512390137,0.7456,r_1_S_0030_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1673.55,-394.359,-294.359,3.6619989871978764,0.7953,r_1_S_0031_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1646.08,-112.474,-12.474000000000004,6.668898582458496,0.5616,r_1_S_0032_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1664.26,-387.102,-287.102,2.744152545928955,0.8348,r_1_S_0033_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1700.63,102.463,202.463,9.12246799468994,0.3883,r_1_S_0034_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1664.72,-313.946,-213.94600000000003,3.47868275642395,0.7762,r_1_S_0035_0001
3VWI_HM,179,1838,Mainly Beta,Sandwich,1612.52,-417.109,-317.109,3.773224353790283,0.8192,r_1_S_0036_0001
