Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
3WPV_HM_g,542,3260.04,Mainly Beta,5 Propeller,3321.52,-1948.066,-1887.3406496,4.053407669067384,0.9293,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3WPV/RS/1/r_g_1_S_0001_0001.pdb
3WPV_HM_g,542,3260.04,Mainly Beta,5 Propeller,3342.1,-1926.411,-1836.7470800592594,7.0912604331970215,0.919,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3WPV/RS/1/r_g_1_S_0002_0001.pdb
3WPV_HM_g,542,3260.04,Mainly Beta,5 Propeller,3293.35,-1937.875,-1921.2254958,7.365591049194336,0.9159999999999999,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3WPV/RS/1/r_g_1_S_0003_0001.pdb
3WPV_HM_g,542,3260.04,Mainly Beta,5 Propeller,3397.01,-1936.547,-1836.547,6.358509540557861,0.9219,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3WPV/RS/1/r_g_1_S_0004_0001.pdb
3WPV_HM_g,542,3260.04,Mainly Beta,5 Propeller,3343.46,-1868.619,-1777.549927760768,5.021838188171387,0.9267,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3WPV/RS/1/r_g_1_S_0005_0001.pdb
3WPV_HM_g,542,3260.04,Mainly Beta,5 Propeller,3238.4,-1928.221,-1923.635541274074,5.693770885467528,0.9275,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3WPV/RS/1/r_g_1_S_0006_0001.pdb
3WPV_HM_g,542,3260.04,Mainly Beta,5 Propeller,3361.02,-1939.635,-1839.635,4.435338973999023,0.9297,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3WPV/RS/1/r_g_1_S_0007_0001.pdb
3WPV_HM_g,542,3260.04,Mainly Beta,5 Propeller,3325.69,-1932.287,-1864.868399074074,6.477724552154541,0.9189,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3WPV/RS/1/r_g_1_S_0008_0001.pdb
3WPV_HM_g,542,3260.04,Mainly Beta,5 Propeller,3398.47,-1879.5639999999999,-1779.5639999999999,5.651662826538086,0.9266,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3WPV/RS/1/r_g_1_S_0009_0001.pdb
3WPV_HM_g,542,3260.04,Mainly Beta,5 Propeller,3392.0,-1995.4520000000002,-1895.4520000000002,5.349421977996826,0.9231,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3WPV/RS/1/r_g_1_S_0010_0001.pdb
3WPV_HM_g,542,3260.04,Mainly Beta,5 Propeller,3352.45,-1938.72,-1840.733675725926,3.667097330093384,0.9356,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3WPV/RS/1/r_g_1_S_0011_0001.pdb
3WPV_HM_g,542,3260.04,Mainly Beta,5 Propeller,3348.42,-1945.624,-1850.1944555478738,5.205632209777832,0.9248,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3WPV/RS/1/r_g_1_S_0012_0001.pdb
