Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
4QMJ_HM_g,240,2012.0,Mainly Alpha,Alpha Horseshoe,1999.7,-793.7,-793.5074120713306,1.4710291624069214,0.9457,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4QMJ/RS/1/r_g_1_S_0001_0001.pdb
4QMJ_HM_g,240,2012.0,Mainly Alpha,Alpha Horseshoe,2013.96,-728.055,-728.055,1.61365008354187,0.9346,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4QMJ/RS/1/r_g_1_S_0002_0001.pdb
4QMJ_HM_g,240,2012.0,Mainly Alpha,Alpha Horseshoe,2006.37,-737.295,-737.295,1.5188899040222168,0.9451,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4QMJ/RS/1/r_g_1_S_0003_0001.pdb
4QMJ_HM_g,240,2012.0,Mainly Alpha,Alpha Horseshoe,2005.11,-747.07,-747.07,1.4840360879898071,0.9459,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4QMJ/RS/1/r_g_1_S_0004_0001.pdb
4QMJ_HM_g,240,2012.0,Mainly Alpha,Alpha Horseshoe,2012.03,-789.1389999999999,-789.1389999999999,1.5860401391983032,0.9357,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4QMJ/RS/1/r_g_1_S_0005_0001.pdb
4QMJ_HM_g,240,2012.0,Mainly Alpha,Alpha Horseshoe,2004.2,-777.903,-777.903,1.3700636625289917,0.953,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4QMJ/RS/1/r_g_1_S_0006_0001.pdb
4QMJ_HM_g,240,2012.0,Mainly Alpha,Alpha Horseshoe,2004.35,-698.091,-698.091,1.6224019527435305,0.9353,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4QMJ/RS/1/r_g_1_S_0007_0001.pdb
4QMJ_HM_g,240,2012.0,Mainly Alpha,Alpha Horseshoe,2010.32,-800.9760000000001,-800.9760000000001,1.474977731704712,0.9445,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4QMJ/RS/1/r_g_1_S_0008_0001.pdb
4QMJ_HM_g,240,2012.0,Mainly Alpha,Alpha Horseshoe,2005.77,-780.518,-780.518,1.597362041473389,0.9384,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4QMJ/RS/1/r_g_1_S_0009_0001.pdb
4QMJ_HM_g,240,2012.0,Mainly Alpha,Alpha Horseshoe,2020.62,-730.21,-730.21,1.4109094142913818,0.9495,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4QMJ/RS/1/r_g_1_S_0010_0001.pdb
4QMJ_HM_g,240,2012.0,Mainly Alpha,Alpha Horseshoe,2006.71,-740.7389999999997,-740.7389999999997,1.675861954689026,0.9302,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4QMJ/RS/1/r_g_1_S_0011_0001.pdb
4QMJ_HM_g,240,2012.0,Mainly Alpha,Alpha Horseshoe,2025.09,-713.877,-713.5314609407408,1.454824924468994,0.9501,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4QMJ/RS/1/r_g_1_S_0012_0001.pdb
4QMJ_HM_g,240,2012.0,Mainly Alpha,Alpha Horseshoe,2006.24,-781.7289999999997,-781.7289999999997,1.6601370573043823,0.9329999999999999,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4QMJ/RS/1/r_g_1_S_0013_0001.pdb
4QMJ_HM_g,240,2012.0,Mainly Alpha,Alpha Horseshoe,2006.87,-766.7869999999997,-766.7869999999997,1.7670880556106567,0.927,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4QMJ/RS/1/r_g_1_S_0014_0001.pdb
