Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
3G91_HM_g,265,2060.62,Alpha Beta,4-Layer Sandwich,2109.29,-904.238,-864.7184153259259,1.4858887195587158,0.9549,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3G91/RS/1/r_g_1_S_0001_0001.pdb
3G91_HM_g,265,2060.62,Alpha Beta,4-Layer Sandwich,2111.13,-909.204,-866.6624996299036,1.44856059551239,0.9575,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3G91/RS/1/r_g_1_S_0002_0001.pdb
3G91_HM_g,265,2060.62,Alpha Beta,4-Layer Sandwich,2123.98,-873.935,-810.161962155281,1.8825958967208865,0.9463,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3G91/RS/1/r_g_1_S_0003_0001.pdb
3G91_HM_g,265,2060.62,Alpha Beta,4-Layer Sandwich,2123.83,-838.706,-775.174487698491,1.4589840173721311,0.9565,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3G91/RS/1/r_g_1_S_0004_0001.pdb
3G91_HM_g,265,2060.62,Alpha Beta,4-Layer Sandwich,2094.68,-908.205,-890.5859748740742,1.6413943767547607,0.9495,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3G91/RS/1/r_g_1_S_0005_0001.pdb
3G91_HM_g,265,2060.62,Alpha Beta,4-Layer Sandwich,2090.32,-866.663,-854.3867923182439,1.4256223440170288,0.9582,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3G91/RS/1/r_g_1_S_0006_0001.pdb
3G91_HM_g,265,2060.62,Alpha Beta,4-Layer Sandwich,2103.98,-842.0880000000003,-811.0553253925927,1.4881479740142822,0.9536,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3G91/RS/1/r_g_1_S_0007_0001.pdb
3G91_HM_g,265,2060.62,Alpha Beta,4-Layer Sandwich,2097.64,-898.398,-876.7699940762689,1.4439387321472168,0.9572,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3G91/RS/1/r_g_1_S_0008_0001.pdb
3G91_HM_g,265,2060.62,Alpha Beta,4-Layer Sandwich,2096.75,-834.5310000000003,-814.1376060074076,1.6325660943984983,0.9545,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3G91/RS/1/r_g_1_S_0009_0001.pdb
3G91_HM_g,265,2060.62,Alpha Beta,4-Layer Sandwich,2114.28,-852.7610000000003,-804.9936732224963,1.5527001619338991,0.953,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3G91/RS/1/r_g_1_S_0010_0001.pdb
