Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
3ENI_HM_g,365,2584.14,Mainly Beta,Clam,2784.96,-1137.001,-1037.001,1.744893193244934,0.9446,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ENI/RS/1/r_g_1_S_0001_0001.pdb
3ENI_HM_g,365,2584.14,Mainly Beta,Clam,2797.19,-1109.851,-1009.8510000000001,1.35869562625885,0.9641,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ENI/RS/1/r_g_1_S_0002_0001.pdb
3ENI_HM_g,365,2584.14,Mainly Beta,Clam,2787.64,-1102.254,-1002.2539999999999,1.544995903968811,0.9551,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ENI/RS/1/r_g_1_S_0003_0001.pdb
3ENI_HM_g,365,2584.14,Mainly Beta,Clam,2795.97,-1135.444,-1035.444,1.7760388851165771,0.9454,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ENI/RS/1/r_g_1_S_0004_0001.pdb
3ENI_HM_g,365,2584.14,Mainly Beta,Clam,2782.95,-1125.031,-1025.031,1.6554163694381714,0.9489,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ENI/RS/1/r_g_1_S_0005_0001.pdb
3ENI_HM_g,365,2584.14,Mainly Beta,Clam,2787.16,-1137.735,-1037.735,2.0374698638916016,0.9274,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ENI/RS/1/r_g_1_S_0006_0001.pdb
3ENI_HM_g,365,2584.14,Mainly Beta,Clam,2799.8,-1123.444,-1023.444,1.3770512342453003,0.9641,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ENI/RS/1/r_g_1_S_0007_0001.pdb
3ENI_HM_g,365,2584.14,Mainly Beta,Clam,2780.92,-1148.785,-1048.785,1.5659317970275881,0.9561,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ENI/RS/1/r_g_1_S_0008_0001.pdb
3ENI_HM_g,365,2584.14,Mainly Beta,Clam,2797.53,-1142.174,-1042.174,1.7635977268218994,0.9437,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ENI/RS/1/r_g_1_S_0009_0001.pdb
3ENI_HM_g,365,2584.14,Mainly Beta,Clam,2777.42,-1142.849,-1042.849,1.7484456300735474,0.9438,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3ENI/RS/1/r_g_1_S_0010_0001.pdb
