Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
3P0Y_HM_g,214,1711.87,Alpha Beta,Alpha-Beta Horseshoe,1714.7,-546.173,-546.173,1.7097145318984983,0.9405,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3P0Y/RS/1/r_g_1_S_0001_0001.pdb
3P0Y_HM_g,214,1711.87,Alpha Beta,Alpha-Beta Horseshoe,1708.83,-564.062,-564.062,1.9584145545959477,0.935,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3P0Y/RS/1/r_g_1_S_0002_0001.pdb
3P0Y_HM_g,214,1711.87,Alpha Beta,Alpha-Beta Horseshoe,1678.42,-538.952,-522.123022256516,1.8198726177215576,0.9393,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3P0Y/RS/1/r_g_1_S_0003_0001.pdb
3P0Y_HM_g,214,1711.87,Alpha Beta,Alpha-Beta Horseshoe,1720.89,-557.661,-557.661,2.4629747867584233,0.9268,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3P0Y/RS/1/r_g_1_S_0004_0001.pdb
3P0Y_HM_g,214,1711.87,Alpha Beta,Alpha-Beta Horseshoe,1726.44,-533.304,-532.5566700941014,1.9766430854797363,0.9345,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3P0Y/RS/1/r_g_1_S_0005_0001.pdb
3P0Y_HM_g,214,1711.87,Alpha Beta,Alpha-Beta Horseshoe,1720.97,-561.135,-561.135,2.436683654785156,0.9333,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3P0Y/RS/1/r_g_1_S_0006_0001.pdb
3P0Y_HM_g,214,1711.87,Alpha Beta,Alpha-Beta Horseshoe,1728.15,-535.623,-534.2302672570645,1.882597804069519,0.9282,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3P0Y/RS/1/r_g_1_S_0007_0001.pdb
3P0Y_HM_g,214,1711.87,Alpha Beta,Alpha-Beta Horseshoe,1705.18,-559.257,-559.257,1.7833390235900881,0.9376,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3P0Y/RS/1/r_g_1_S_0008_0001.pdb
3P0Y_HM_g,214,1711.87,Alpha Beta,Alpha-Beta Horseshoe,1732.25,-551.398,-547.7142943407407,2.0675816535949707,0.9202,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3P0Y/RS/1/r_g_1_S_0009_0001.pdb
3P0Y_HM_g,214,1711.87,Alpha Beta,Alpha-Beta Horseshoe,1696.79,-573.177,-572.2571735286695,1.7285373210906982,0.9444,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3P0Y/RS/1/r_g_1_S_0010_0001.pdb
3P0Y_HM_g,214,1711.87,Alpha Beta,Alpha-Beta Horseshoe,1715.18,-560.886,-560.886,1.3804082870483398,0.9479,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3P0Y/RS/1/r_g_1_S_0011_0001.pdb
3P0Y_HM_g,214,1711.87,Alpha Beta,Alpha-Beta Horseshoe,1720.91,-552.6619999999998,-552.6619999999998,1.730156660079956,0.9373,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3P0Y/RS/1/r_g_1_S_0012_0001.pdb
3P0Y_HM_g,214,1711.87,Alpha Beta,Alpha-Beta Horseshoe,1722.21,-540.886,-540.8817293015089,1.4697825908660889,0.9436,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/3P0Y/RS/1/r_g_1_S_0013_0001.pdb
