Protein_ID,Protein_SeqL,Protein_EXP_CCS,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1BN1_HM,259,2080,Alpha Beta,Roll,2312.4,-13.532,86.468,19.38023567199707,0.2223,r_1_S_0001_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2589.79,523.357,623.357,19.22818756103516,0.3189,r_1_S_0002_0001
1BN1_HM,259,2080,Alpha Beta,Roll,3360.21,159.696,259.696,29.57168960571289,0.1413,r_1_S_0003_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2776.46,-13.885,86.115,24.34588050842285,0.1812,r_1_S_0004_0001
1BN1_HM,259,2080,Alpha Beta,Roll,4216.78,373.091,473.091,40.95514678955078,0.1177,r_1_S_0005_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2382.0,162.102,262.102,17.199607849121097,0.2644,r_1_S_0006_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2471.53,143.441,243.441,20.251449584960934,0.2213,r_1_S_0007_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2019.02,-211.095,-151.1870019731138,7.206149578094482,0.4359,r_1_S_0008_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2172.59,-425.425,-327.3470094592592,12.712946891784668,0.4239,r_1_S_0009_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2496.49,17.578,117.578,18.72905731201172,0.259,r_1_S_0010_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2187.33,-452.642,-352.642,12.46949291229248,0.4334,r_1_S_0011_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2027.2,-374.136,-327.799745404664,5.197532653808594,0.4917,r_1_S_0012_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2935.98,109.384,209.38400000000001,23.69040298461914,0.1944,r_1_S_0013_0001
1BN1_HM,259,2080,Alpha Beta,Roll,3888.38,240.129,340.129,37.688819885253906,0.1257,r_1_S_0014_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2151.23,-116.516,-40.63889200740739,8.58009147644043,0.3868,r_1_S_0015_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2494.83,565.957,665.957,18.855756759643555,0.2377,r_1_S_0016_0001
1BN1_HM,259,2080,Alpha Beta,Roll,4540.98,507.551,607.5509999999999,44.937950134277344,0.0899,r_1_S_0017_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2965.57,-129.166,-29.165999999999997,25.598560333251953,0.1285,r_1_S_0018_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2379.09,36.963,136.963,15.4140043258667,0.3017,r_1_S_0019_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2102.54,-301.439,-296.15586394074074,5.634605884552003,0.5177,r_1_S_0020_0001
1BN1_HM,259,2080,Alpha Beta,Roll,3053.49,95.384,195.38400000000001,30.394689559936523,0.1574,r_1_S_0021_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2069.35,-189.633,-189.6174271947874,6.560527324676514,0.4701,r_1_S_0022_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2066.7,-194.094,-193.70052592592586,7.1806983947753915,0.4082,r_1_S_0023_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2195.88,-510.335,-410.335,11.998895645141602,0.4162,r_1_S_0024_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2833.09,5.528,105.528,26.781648635864254,0.1793,r_1_S_0025_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2817.39,177.81900000000005,277.8190000000001,26.513729095458984,0.2167,r_1_S_0026_0001
1BN1_HM,259,2080,Alpha Beta,Roll,3786.07,265.865,365.865,32.824981689453125,0.1228,r_1_S_0027_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2207.78,-500.415,-400.415,11.750324249267578,0.4096,r_1_S_0028_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2525.96,-108.767,-8.766999999999996,15.803524017333984,0.3462,r_1_S_0029_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2211.17,-83.09,16.909999999999997,20.66050910949707,0.1858,r_1_S_0030_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2092.36,-372.041,-371.83832462441694,12.355932235717773,0.4382,r_1_S_0031_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2202.21,-168.035,-68.035,18.519962310791016,0.2089,r_1_S_0032_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2066.75,-272.103,-271.72121416323733,7.116414546966553,0.4263,r_1_S_0033_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2271.82,173.58700000000005,273.58700000000005,13.507176399230955,0.3684,r_1_S_0034_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2070.42,271.163,271.163,13.524395942687988,0.2831,r_1_S_0035_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2155.42,196.24400000000003,277.94135031879296,11.254983901977539,0.3746,r_1_S_0036_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2136.5,-373.898,-321.39892592592594,7.008388996124268,0.5013,r_1_S_0037_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2132.36,-246.268,-200.66295205925906,7.6598005294799805,0.4374,r_1_S_0038_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2050.86,-270.659,-259.0145264592594,9.985153198242188,0.3983,r_1_S_0039_0001
1BN1_HM,259,2080,Alpha Beta,Roll,3179.62,-107.627,-7.626999999999995,27.50343513488769,0.1372,r_1_S_0040_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2327.22,-391.329,-291.329,14.809520721435547,0.41200000000000003,r_1_S_0041_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2014.39,-426.557,-359.2013456737999,4.679534912109375,0.5196,r_1_S_0042_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2089.95,-398.148,-398.148,12.43138027191162,0.4082,r_1_S_0043_0001
1BN1_HM,259,2080,Alpha Beta,Roll,3668.07,257.834,357.834,32.768478393554695,0.1197,r_1_S_0044_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2066.01,-319.135,-318.56279360740746,6.177364826202393,0.4682,r_1_S_0045_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2120.87,17.725,44.94897859999983,12.561942100524902,0.4291,r_1_S_0046_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2043.26,-651.9630000000002,-630.7259936965709,2.9800515174865723,0.5039,r_1_S_0047_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2332.39,-68.904,31.096000000000004,19.1260929107666,0.2559,r_1_S_0048_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2067.04,-572.655,-572.3376113404663,3.4590983390808105,0.5098,r_1_S_0049_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2345.42,-43.395,56.605,20.421432495117188,0.2038,r_1_S_0050_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2123.2,-493.84,-463.05590342935557,11.129316329956056,0.4362,r_1_S_0051_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2204.97,171.86900000000003,271.869,18.631954193115234,0.2201,r_1_S_0052_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2040.14,-408.761,-383.04223875336095,5.899746417999268,0.4698,r_1_S_0053_0001
1BN1_HM,259,2080,Alpha Beta,Roll,3514.4,47.562,147.562,35.607723236083984,0.1141,r_1_S_0054_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2096.39,-585.8340000000002,-584.3932822000003,12.99796199798584,0.4173,r_1_S_0055_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2109.78,-420.034,-407.6664717015087,12.88538932800293,0.4154,r_1_S_0056_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2738.99,86.515,186.515,27.98356437683105,0.1463,r_1_S_0057_0001
1BN1_HM,259,2080,Alpha Beta,Roll,3198.89,-15.98,84.02,29.62472724914551,0.1423,r_1_S_0058_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2206.61,-497.695,-397.695,13.163162231445312,0.4211,r_1_S_0059_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2292.11,123.544,223.54399999999998,11.650629043579102,0.3195,r_1_S_0060_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2145.24,-292.997,-226.2249127089167,6.000301837921143,0.48,r_1_S_0061_0001
1BN1_HM,259,2080,Alpha Beta,Roll,4022.29,29.194000000000006,129.19400000000002,47.08024978637695,0.10300000000000001,r_1_S_0062_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2204.57,295.981,395.981,18.737985610961914,0.2269,r_1_S_0063_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2074.79,-509.823,-509.823,3.7952277660369873,0.5176,r_1_S_0064_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2077.66,-309.341,-309.341,5.481602668762207,0.5009,r_1_S_0065_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2128.67,-414.676,-375.15641532592576,12.926340103149414,0.4288,r_1_S_0066_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2254.87,-66.959,33.041,22.48517227172852,0.2686,r_1_S_0067_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2069.45,-379.758,-379.7468419410151,6.438817024230957,0.4413,r_1_S_0068_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2325.5,-309.88,-209.88,10.483473777770996,0.428,r_1_S_0069_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2064.36,-183.941,-182.81208645925932,14.618908882141113,0.36200000000000004,r_1_S_0070_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2041.27,-658.9689999999998,-634.9040812392316,3.695701360702514,0.5438,r_1_S_0071_0001
1BN1_HM,259,2080,Alpha Beta,Roll,4134.07,193.538,293.538,42.92051315307617,0.1142,r_1_S_0072_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2129.48,-340.728,-299.8818555259259,13.46263313293457,0.4065,r_1_S_0073_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2052.98,-609.798,-600.4217328965707,3.4363133907318115,0.4939,r_1_S_0074_0001
1BN1_HM,259,2080,Alpha Beta,Roll,3766.08,153.79,253.79,46.92207717895508,0.1128,r_1_S_0075_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2245.77,-36.073,63.927,19.50343513488769,0.2572,r_1_S_0076_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2057.92,-356.441,-351.51993742441704,10.523807525634766,0.4193,r_1_S_0077_0001
1BN1_HM,259,2080,Alpha Beta,Roll,2077.93,-427.643,-427.643,11.279120445251465,0.3892,r_1_S_0078_0001
