Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2269.13,-928.3789999999999,-828.3789999999999,4.663933753967285,0.7706,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0001_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2250.66,-930.1610000000001,-835.8175157750344,5.304105758666992,0.7729,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0002_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2287.96,-899.125,-799.125,5.092776298522949,0.7556,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0003_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2266.14,-929.431,-829.431,5.1010589599609375,0.7577,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0004_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2288.33,-920.7080000000001,-820.7080000000001,5.412619113922119,0.7609,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0005_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2323.54,-905.676,-805.676,5.353872299194336,0.7513,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0006_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2276.2,-910.066,-810.066,5.2517290115356445,0.7556,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0007_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2263.64,-910.6260000000001,-810.6260148126202,5.043245315551758,0.7522,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0008_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2292.13,-918.7189999999999,-818.7189999999999,5.32349157333374,0.7475,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0009_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2286.49,-903.085,-803.085,5.195462226867676,0.7537,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0010_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2271.16,-937.86,-837.86,5.21934986114502,0.7507,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0011_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2274.1,-924.5110000000001,-824.5110000000001,5.5158891677856445,0.7442,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0012_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2291.83,-904.882,-804.882,5.31360387802124,0.7598,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0013_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2259.74,-935.4739999999999,-836.0266001953361,4.780369758605957,0.7657,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0014_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2268.05,-914.93,-814.93,5.000700950622559,0.7623,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0015_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2257.51,-925.197,-826.5340175925925,5.150880336761475,0.7567,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0016_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2320.69,-918.6110000000001,-818.6110000000001,6.093174457550049,0.7555,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0017_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2256.98,-958.534,-860.1049043533607,4.867600440979004,0.7695,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0018_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2265.39,-943.7819999999999,-843.7819999999999,5.3798441886901855,0.7562,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0019_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2256.62,-934.8439999999999,-836.5838909015089,5.185594081878662,0.7475,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0020_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2280.53,-968.65,-868.65,5.254523277282715,0.7598,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0021_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2282.04,-936.345,-836.345,5.251609325408936,0.7485,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0022_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2317.93,-925.38,-825.38,5.5335540771484375,0.7455,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0023_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2286.81,-927.711,-827.711,5.211591720581055,0.7606,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0024_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2327.18,-917.347,-817.347,5.842602729797362,0.7498,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0025_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2297.37,-887.8660000000001,-787.8660000000001,5.32088565826416,0.7511,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0026_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2276.46,-923.9010000000001,-823.9010000000001,5.463042259216309,0.7518,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0027_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2282.4,-935.171,-835.171,5.717699527740479,0.7622,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0028_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2265.01,-926.471,-826.471,5.176210880279541,0.7553,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0029_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2269.39,-926.914,-826.914,5.073603630065918,0.7533,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0030_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2266.36,-919.127,-819.127,5.275131702423097,0.7566,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0031_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2289.99,-935.23,-835.23,5.448578357696533,0.7454,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0032_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2291.74,-925.33,-825.33,5.098021507263184,0.7515,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0033_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2258.01,-943.9630000000001,-845.0958327503429,5.5130720138549805,0.7647,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0034_0001.pdb
1SUU_HM_g,312,2163.66,Mainly Beta,6 Propeller,2268.02,-927.686,-827.686,5.44770097732544,0.7456,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/1SUU/RS/1/r_g_1_S_0035_0001.pdb
