Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
4I1M_HM_g,302,2335.98,Mainly Alpha,Alpha Horseshoe  Up-down Bundle  ,2453.49,-993.247,-893.247,2.4663710594177246,0.9127,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4I1M/RS/1/r_g_1_S_0001_0001.pdb
4I1M_HM_g,302,2335.98,Mainly Alpha,Alpha Horseshoe  Up-down Bundle  ,2471.0,-1004.822,-904.822,2.485576629638672,0.9256,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4I1M/RS/1/r_g_1_S_0002_0001.pdb
4I1M_HM_g,302,2335.98,Mainly Alpha,Alpha Horseshoe  Up-down Bundle  ,2461.13,-987.632,-887.632,2.065563440322876,0.9349,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4I1M/RS/1/r_g_1_S_0003_0001.pdb
4I1M_HM_g,302,2335.98,Mainly Alpha,Alpha Horseshoe  Up-down Bundle  ,2406.45,-991.4119999999999,-916.6443852737999,2.607562065124512,0.9201,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4I1M/RS/1/r_g_1_S_0004_0001.pdb
4I1M_HM_g,302,2335.98,Mainly Alpha,Alpha Horseshoe  Up-down Bundle  ,2482.07,-965.064,-865.064,2.260432720184326,0.9226,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4I1M/RS/1/r_g_1_S_0005_0001.pdb
4I1M_HM_g,302,2335.98,Mainly Alpha,Alpha Horseshoe  Up-down Bundle  ,2497.36,-985.745,-885.745,2.280240058898926,0.9256,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4I1M/RS/1/r_g_1_S_0006_0001.pdb
4I1M_HM_g,302,2335.98,Mainly Alpha,Alpha Horseshoe  Up-down Bundle  ,2442.76,-998.4630000000001,-898.4630000000001,2.177182674407959,0.9223,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4I1M/RS/1/r_g_1_S_0007_0001.pdb
4I1M_HM_g,302,2335.98,Mainly Alpha,Alpha Horseshoe  Up-down Bundle  ,2459.91,-993.184,-893.184,2.0495612621307373,0.9344,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4I1M/RS/1/r_g_1_S_0008_0001.pdb
4I1M_HM_g,302,2335.98,Mainly Alpha,Alpha Horseshoe  Up-down Bundle  ,2419.79,-995.632,-904.1757623706447,2.41119647026062,0.9152,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4I1M/RS/1/r_g_1_S_0009_0001.pdb
4I1M_HM_g,302,2335.98,Mainly Alpha,Alpha Horseshoe  Up-down Bundle  ,2407.13,-980.447,-904.685966632373,2.4343414306640625,0.9227,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4I1M/RS/1/r_g_1_S_0010_0001.pdb
4I1M_HM_g,302,2335.98,Mainly Alpha,Alpha Horseshoe  Up-down Bundle  ,2462.59,-1010.7560000000001,-910.7560000000001,2.5106115341186523,0.9249,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4I1M/RS/1/r_g_1_S_0011_0001.pdb
4I1M_HM_g,302,2335.98,Mainly Alpha,Alpha Horseshoe  Up-down Bundle  ,2402.56,-980.835,-911.9610181925927,2.355233669281006,0.9232,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4I1M/RS/1/r_g_1_S_0012_0001.pdb
