Protein_ID,Protein_SeqL,Protein_CCS_with_noise,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
4E7G_HM_g,419,2393.16,Alpha Beta,Alpha-beta prism,2634.87,-1570.082,-1470.082,2.231987476348877,0.9455,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4E7G/RS/1/r_g_1_S_0001_0001.pdb
4E7G_HM_g,419,2393.16,Alpha Beta,Alpha-beta prism,2647.76,-1566.889,-1466.889,2.253303050994873,0.9424,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4E7G/RS/1/r_g_1_S_0002_0001.pdb
4E7G_HM_g,419,2393.16,Alpha Beta,Alpha-beta prism,2642.84,-1557.7620000000006,-1457.7620000000006,2.1871590614318848,0.9482,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4E7G/RS/1/r_g_1_S_0003_0001.pdb
4E7G_HM_g,419,2393.16,Alpha Beta,Alpha-beta prism,2653.43,-1585.6789999999999,-1485.6789999999999,2.326673984527588,0.9402,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4E7G/RS/1/r_g_1_S_0004_0001.pdb
4E7G_HM_g,419,2393.16,Alpha Beta,Alpha-beta prism,2644.29,-1560.9879999999994,-1460.9879999999994,2.3883490562438965,0.9341,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4E7G/RS/1/r_g_1_S_0005_0001.pdb
4E7G_HM_g,419,2393.16,Alpha Beta,Alpha-beta prism,2656.0,-1557.9479999999999,-1457.9479999999999,2.2155978679656982,0.9461,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4E7G/RS/1/r_g_1_S_0006_0001.pdb
4E7G_HM_g,419,2393.16,Alpha Beta,Alpha-beta prism,2654.41,-1580.1129999999994,-1480.1129999999994,2.2512493133544917,0.9449,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4E7G/RS/1/r_g_1_S_0007_0001.pdb
4E7G_HM_g,419,2393.16,Alpha Beta,Alpha-beta prism,2640.28,-1568.4470000000001,-1468.4470000000001,2.298793315887451,0.9405,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4E7G/RS/1/r_g_1_S_0008_0001.pdb
4E7G_HM_g,419,2393.16,Alpha Beta,Alpha-beta prism,2645.41,-1565.514,-1465.514,2.1788468360900883,0.9478,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4E7G/RS/1/r_g_1_S_0009_0001.pdb
4E7G_HM_g,419,2393.16,Alpha Beta,Alpha-beta prism,2650.92,-1569.719,-1469.719,2.1945326328277592,0.9472,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4E7G/RS/1/r_g_1_S_0010_0001.pdb
4E7G_HM_g,419,2393.16,Alpha Beta,Alpha-beta prism,2642.42,-1574.378,-1474.378,2.2271287441253658,0.9463,/home/cbc-lindert-group1/data/turzo.1/CCS/CATH/NEW_IDEAL_DATASET/PROTEINS/HM/4E7G/RS/1/r_g_1_S_0011_0001.pdb
