Protein_ID,Protein_SeqL,Protein_EXP_CCS,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1DPX_IN,128,1313,Mainly Alpha,Orthogonal Bundle,1392.39,-214.538,-127.8685021999999,15.97178554534912,0.23800000000000002,r_1_F_00000001_0001
1DPX_IN,128,1313,Mainly Alpha,Orthogonal Bundle,1389.11,-212.015,-129.41254283429367,17.348417282104492,0.2028,r_1_F_00000002_0001
1DPX_IN,128,1313,Mainly Alpha,Orthogonal Bundle,1429.94,-241.071,-141.071,14.684906005859375,0.2102,r_1_F_00000004_0001
1DPX_IN,128,1313,Mainly Alpha,Orthogonal Bundle,1342.48,-232.724,-220.69754715829902,16.95467185974121,0.2384,r_1_F_00000005_0001
1DPX_IN,128,1313,Mainly Alpha,Orthogonal Bundle,1352.91,-246.133,-220.34030720740728,12.726070404052734,0.2656,r_1_F_00000006_0001
1DPX_IN,128,1313,Mainly Alpha,Orthogonal Bundle,1427.97,-204.431,-104.43100000000001,17.120193481445312,0.2995,r_1_F_00000007_0001
1DPX_IN,128,1313,Mainly Alpha,Orthogonal Bundle,1366.73,-241.022,-193.1381046960219,13.505859375,0.2222,r_1_F_00000008_0001
1DPX_IN,128,1313,Mainly Alpha,Orthogonal Bundle,1465.92,-252.491,-152.491,16.198614120483402,0.4358,r_1_F_00000010_0001
1DPX_IN,128,1313,Mainly Alpha,Orthogonal Bundle,1414.82,-185.399,-85.399,15.011831283569336,0.1984,r_1_F_00000011_0001
1DPX_IN,128,1313,Mainly Alpha,Orthogonal Bundle,1472.33,-232.603,-132.603,17.625717163085938,0.2153,r_1_F_00000012_0001
1DPX_IN,128,1313,Mainly Alpha,Orthogonal Bundle,1407.56,-186.136,-87.18789213058987,16.44904899597168,0.18100000000000002,r_1_F_00000013_0001
1DPX_IN,128,1313,Mainly Alpha,Orthogonal Bundle,1381.37,-205.712,-134.0843538417011,18.25857353210449,0.1898,r_1_F_00000014_0001
1DPX_IN,128,1313,Mainly Alpha,Orthogonal Bundle,1448.76,-211.949,-111.94900000000001,13.496233940124512,0.3731,r_1_F_00000015_0001
1DPX_IN,128,1313,Mainly Alpha,Orthogonal Bundle,1501.03,-221.483,-121.483,15.9973726272583,0.1739,r_1_F_00000018_0001
1DPX_IN,128,1313,Mainly Alpha,Orthogonal Bundle,1340.77,-263.97700000000003,-253.8211544397806,11.322379112243652,0.4325,r_1_F_00000019_0001
